診療年月：H30年04月～H31年03月　外用薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
,,660444049,リノジェット吸入液　１％２ｍＬ,管,2259701G1039,34.3 ,1,"1,045,873 ","311,912 ","145,869 ","46,842 ","11,550 ","4,740 ","3,295 ","4,630 ","4,817 ","3,858 ","3,879 ","2,670 ","2,399 ","3,934 ","5,698 ","11,226 ","11,012 ","9,792 ","6,196 ","2,972 ","1,170 ",-,"211,990 ","104,206 ","27,533 ","7,294 ","3,445 ","5,871 ","6,449 ","4,233 ","5,398 ","4,702 ","7,327 ","2,148 ","2,602 ","7,308 ","11,954 ","6,429 ","7,462 ","12,934 ","2,583 ","4,369 ",-
,,621951901,ツロブテロールテープ１ｍｇ「ＮＰ」,枚,2259707S2159,21.9 ,1,"984,909 ","192,629 ","217,051 ","9,729 ",-,-,-,-,-,"1,286 ",-,-,-,"2,553 ","2,728 ","5,476 ","6,902 ","9,296 ","12,739 ","9,131 ","2,594 ",-,"166,019 ","188,366 ","9,460 ","2,264 ","1,675 ","2,028 ","2,475 ","1,956 ","3,065 ","2,361 ","3,325 ","2,292 ","4,405 ","5,622 ","7,782 ","12,728 ","17,431 ","31,008 ","24,244 ","15,556 ","2,403 "
,,620004228,ツロブテロールテープ１「ＥＭＥＣ」　１ｍｇ,枚,2259707S2043,31.4 ,1,"930,135 ","191,946 ","205,549 ","8,304 ","1,005 ",-,-,-,-,-,-,-,"1,604 ",-,"1,422 ","3,546 ","6,338 ","8,175 ","10,053 ","6,548 ","1,653 ",-,"165,943 ","179,947 ","7,659 ","1,391 ","1,523 ","1,576 ","1,969 ","2,336 ","2,233 ","2,777 ","2,718 ","1,567 ","2,699 ","4,990 ","7,025 ","12,704 ","17,374 ","21,034 ","26,345 ","11,819 ","4,071 "
,,620005752,ツロブテロールテープ２「オーハラ」　２ｍｇ,枚,2259707S3120,40.7 ,1,"921,689 ",-,"5,120 ","18,227 ","5,492 ","3,378 ","4,521 ","6,303 ","6,624 ","8,979 ","10,412 ","7,258 ","10,821 ","13,322 ","24,500 ","37,142 ","46,558 ","56,510 ","54,782 ","33,928 ","9,384 ","2,144 ",-,"4,125 ","15,041 ","5,909 ","6,375 ","8,463 ","10,334 ","12,426 ","14,069 ","14,446 ","12,616 ","14,850 ","16,437 ","22,320 ","32,420 ","45,374 ","69,591 ","94,710 ","97,109 ","49,387 ","10,201 "
,,621762701,ツロブテロールテープ１ｍｇ「ＹＰ」,枚,2259707S2183,31.4 ,1,"825,537 ","137,380 ","177,423 ","11,596 ","1,061 ",-,"1,191 ","1,312 ",-,-,-,-,-,"2,746 ","4,238 ","3,993 ","7,206 ","13,118 ","8,870 ","6,857 ","3,584 ",-,"118,355 ","154,681 ","8,706 ","1,301 ","1,602 ","2,408 ","2,169 ","2,841 ","2,399 ","2,337 ","3,068 ","3,870 ","5,194 ","6,712 ","8,671 ","10,644 ","23,974 ","28,417 ","37,358 ","11,427 ","3,430 "
,,621763001,ツロブテロールテープ１ｍｇ「タカタ」,枚,2259707S2191,31.4 ,1,"798,955 ","172,163 ","200,366 ","12,205 ",-,-,-,-,-,-,-,-,-,-,"1,102 ","1,525 ","3,375 ","2,982 ","2,335 ","2,640 ",-,-,"152,912 ","184,850 ","10,996 ",-,-,-,-,"1,033 ",-,-,-,-,"1,160 ","2,442 ","2,266 ","2,201 ","5,758 ","8,370 ","11,419 ","6,421 ","1,205 "
,,621763101,ツロブテロールテープ２ｍｇ「タカタ」,枚,2259707S3198,40.7 ,1,"788,776 ",-,"15,345 ","42,183 ","8,696 ","5,065 ","6,701 ","9,084 ","9,490 ","10,521 ","10,708 ","8,162 ","10,427 ","11,959 ","20,484 ","24,572 ","33,183 ","39,451 ","33,298 ","25,324 ","7,264 ","1,464 ",-,"11,943 ","32,818 ","10,279 ","10,049 ","11,895 ","18,105 ","20,813 ","19,569 ","16,705 ","17,097 ","15,788 ","15,602 ","21,386 ","22,765 ","28,538 ","44,881 ","57,843 ","52,080 ","20,796 ","6,329 "
,,620004223,ツロブテロールテープ０．５「ＥＭＥＣ」　０．５ｍｇ,枚,2259707S1047,22.3 ,1,"598,247 ","314,471 ","5,073 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"265,149 ","4,635 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,952 ","1,491 ",-,-
,,621951801,ツロブテロールテープ０．５ｍｇ「ＮＰ」,枚,2259707S1152,16.4 ,1,"583,378 ","316,708 ","2,995 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"255,588 ","2,360 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620004235,ツロブテロールテープ２ｍｇ「ＱＱ」,枚,2259707S3066,40.7 ,1,"556,440 ",-,"5,626 ","15,387 ","4,602 ","3,169 ","3,651 ","5,389 ","6,651 ","7,782 ","8,929 ","6,229 ","8,126 ","9,104 ","15,000 ","18,457 ","27,322 ","27,371 ","24,555 ","20,617 ","6,818 ",-,-,"5,096 ","14,771 ","5,415 ","6,613 ","7,880 ","9,550 ","11,752 ","11,151 ","13,174 ","10,584 ","10,247 ","10,198 ","18,621 ","17,818 ","24,990 ","37,967 ","49,872 ","38,845 ","22,494 ","4,088 "
,,621762901,ツロブテロールテープ０．５ｍｇ「タカタ」,枚,2259707S1195,22.3 ,1,"556,434 ","295,962 ","3,766 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"250,409 ","2,967 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,660463036,メプチン吸入液ユニット０．５ｍＬ　０．０１％,個,2259704G6026,21.2 ,0,"555,908 ","9,120 ","15,185 ","24,280 ","11,423 ","7,272 ","3,422 ","5,824 ","4,267 ","7,022 ","5,419 ","8,298 ","3,939 ","10,570 ","16,882 ","16,779 ","30,161 ","30,382 ","22,718 ","10,296 ","1,724 ",-,"5,182 ","11,491 ","14,721 ","8,376 ","6,785 ","11,042 ","11,823 ","12,092 ","14,699 ","15,910 ","12,617 ","15,208 ","12,596 ","23,307 ","22,608 ","25,755 ","32,131 ","25,161 ","19,564 ","7,782 ","2,075 "
,,620008998,サルタノールインヘラー１００μｇ　０．１６％１３．５ｍＬ,瓶,2254700G4037,842.0 ,0,"550,638 ",-,"2,467 ","4,125 ","3,875 ","4,452 ","7,743 ","15,285 ","23,813 ","34,230 ","39,424 ","34,794 ","28,147 ","23,493 ","24,364 ","22,869 ","22,024 ","16,314 ","8,043 ","2,287 ",-,-,-,"1,548 ","2,796 ","3,570 ","4,837 ","7,736 ","12,883 ","17,500 ","25,029 ","30,022 ","23,346 ","19,039 ","16,270 ","17,212 ","15,219 ","14,039 ","11,014 ","6,358 ","2,211 ",-,-
,,660462003,セレベント２５ロタディスク　２５μｇ,ブリスター,2259708G1022,35.5 ,0,"549,720 ","4,730 ","124,774 ","58,022 ","2,412 ","1,524 ",-,-,-,"3,136 ","3,700 ",-,"2,304 ","2,028 ","4,256 ","8,532 ","10,372 ","6,972 ","3,598 ",-,"2,636 ",-,"4,452 ","96,244 ","50,886 ","4,948 ",-,"2,056 ","3,924 ","6,478 ","10,048 ","11,108 ","12,665 ","11,096 ","15,966 ","13,699 ","15,620 ","17,328 ","14,352 ","11,278 ","2,636 ","1,256 ",-
,,622450201,スピオルトレスピマット６０吸入,キット,2259807G2022,"7,960.3 ",0,"512,883 ",-,-,-,-,-,-,-,-,"1,029 ","2,346 ","5,170 ","11,464 ","23,943 ","58,667 ","89,998 ","101,949 ","75,560 ","42,447 ","11,516 ","1,331 ",-,-,-,-,-,-,-,-,-,-,"1,477 ","1,692 ","2,942 ","5,102 ","10,275 ","15,985 ","18,260 ","14,857 ","9,516 ","3,765 ",-,-
,,620004835,メプチン吸入液０．０１％,ｍＬ,2259704G1032,29.7 ,0,"501,973 ","107,160 ","45,332 ","12,811 ","4,421 ","2,749 ","2,681 ","1,983 ","1,340 ","1,334 ","2,474 ","1,914 ","3,380 ","6,598 ","9,558 ","12,003 ","15,512 ","20,969 ","12,912 ","4,584 ","2,596 ",-,"74,748 ","31,082 ","8,362 ","1,805 ","2,774 ","3,405 ","1,787 ","4,643 ","4,017 ","3,801 ","5,181 ","4,377 ","8,218 ","10,983 ","9,408 ","14,487 ","16,404 ","11,808 ","8,218 ","2,872 ",-
,,620005754,ツロブテロールテープ２ｍｇ「テイコク」,枚,2259707S3139,40.7 ,1,"491,862 ",-,"3,606 ","11,768 ","2,887 ","2,371 ","3,615 ","4,881 ","4,655 ","5,195 ","6,813 ","7,733 ","7,464 ","7,146 ","14,145 ","20,962 ","34,410 ","36,718 ","35,232 ","15,721 ","3,559 ",-,-,"3,254 ","9,286 ","4,091 ","4,469 ","6,328 ","7,231 ","8,435 ","8,325 ","10,077 ","10,564 ","7,006 ","10,323 ","17,029 ","17,838 ","24,655 ","32,194 ","35,577 ","29,599 ","13,448 ","2,394 "
,,622148601,ツロブテロールテープ１ｍｇ「ファイザー」,枚,2259707S2175,21.9 ,1,"483,193 ","88,964 ","107,238 ","5,647 ",-,-,-,-,-,-,-,-,-,-,-,"2,347 ","3,590 ","5,381 ","8,514 ","5,119 ","1,627 ",-,"79,015 ","96,767 ","4,780 ","1,029 ",-,-,-,"1,296 ","1,122 ","1,093 ","1,020 ",-,"1,141 ","1,738 ","3,440 ","5,603 ","11,471 ","13,645 ","14,836 ","6,634 ","2,098 "
,,621762601,ツロブテロールテープ０．５ｍｇ「ＹＰ」,枚,2259707S1187,22.3 ,1,"429,629 ","229,405 ","2,070 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"192,352 ","1,776 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,132 ",-,-,-
,,622426401,アノーロエリプタ３０吸入用,キット,2259806G2028,"7,924.7 ",0,"345,375 ",-,-,-,-,-,-,-,-,-,"1,737 ","3,589 ","7,387 ","15,606 ","38,484 ","58,299 ","67,840 ","52,671 ","30,232 ","8,863 ",-,-,-,-,-,-,-,-,-,-,-,-,"1,163 ","1,830 ","3,249 ","6,775 ","10,719 ","13,451 ","10,456 ","6,757 ","2,250 ",-,-
,,622148501,ツロブテロールテープ０．５ｍｇ「ファイザー」,枚,2259707S1179,16.4 ,1,"255,194 ","138,456 ","1,010 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"111,888 ","1,218 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620004230,ツロブテロールテープ１ｍｇ「ＱＱ」,枚,2259707S2060,31.4 ,1,"252,281 ","52,680 ","53,344 ","2,354 ",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,492 ","3,442 ","2,656 ",-,-,"48,252 ","50,112 ","2,692 ",-,-,-,-,"1,250 ",-,-,-,-,-,"1,192 ","1,139 ","2,242 ","2,560 ","8,777 ","5,915 ","2,129 ",-
,,660462002,キュバール１００エアゾール　１５ｍｇ８．７ｇ,瓶,2259703Y1025,"2,858.0 ",0,"246,930 ","1,836 ","3,486 ","2,404 ","1,305 ","1,210 ","1,414 ","2,351 ","3,396 ","4,583 ","6,025 ","5,843 ","6,707 ","7,775 ","10,766 ","12,526 ","12,685 ","11,765 ","7,379 ","2,726 ",-,-,"1,214 ","2,437 ","1,502 ","1,557 ","2,465 ","3,225 ","4,545 ","5,159 ","6,749 ","8,000 ","8,653 ","8,677 ","9,346 ","13,237 ","14,465 ","15,692 ","15,076 ","10,549 ","5,830 ","1,665 ",-
,,620005751,ツロブテロールテープ１ｍｇ「テイコク」,枚,2259707S2132,31.4 ,1,"236,795 ","45,735 ","49,251 ","1,646 ",-,-,-,-,-,-,-,-,-,-,"1,093 ","2,037 ","4,630 ","4,134 ","3,941 ","1,559 ",-,-,"40,887 ","43,162 ","1,699 ",-,-,-,-,-,-,-,-,"1,293 ","1,428 ","1,669 ","2,391 ","3,549 ","6,323 ","6,810 ","4,679 ","1,841 ",-
,,620005753,ツロブテロールテープ２ｍｇ「ＭＥＤ」,枚,2259707S3112,40.7 ,1,"198,066 ",-,"1,143 ","4,326 ","1,048 ","1,013 ",-,"1,564 ","1,724 ","1,772 ","1,968 ","1,776 ","2,591 ","3,169 ","4,988 ","4,685 ","7,383 ","10,525 ","12,285 ","8,820 ","1,852 ",-,-,-,"3,008 ",-,"1,189 ","1,698 ","1,828 ","2,883 ","2,778 ","2,953 ","2,285 ","2,917 ","4,346 ","4,952 ","6,594 ","8,558 ","12,669 ","22,069 ","22,966 ","14,641 ","3,935 "
,,620005749,ツロブテロールテープ１「オーハラ」　１ｍｇ,枚,2259707S2124,31.4 ,1,"188,552 ","25,710 ","35,987 ","1,284 ",-,-,-,"1,412 ",-,-,"2,175 ",-,"1,071 ",-,"1,593 ","1,691 ","1,667 ","2,658 ","3,292 ","2,573 ","1,014 ",-,"23,385 ","32,380 ","1,122 ",-,-,-,"2,877 ","2,141 ",-,"2,421 ","1,019 ","2,331 ","1,642 ","1,497 ","3,001 ","3,377 ","3,911 ","7,301 ","7,704 ","4,549 ","1,510 "
,,620005748,ツロブテロールテープ０．５ｍｇ「テイコク」,枚,2259707S1136,22.3 ,1,"162,404 ","88,008 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"70,259 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620001944,セレベント５０ディスカス　５０μｇ６０ブリスター,キット,2259708G3025,"3,052.6 ",0,"130,059 ",-,-,-,-,-,-,-,"1,061 ","1,555 ","2,395 ","2,466 ","3,146 ","3,614 ","6,902 ","11,133 ","13,646 ","12,744 ","8,312 ","2,934 ",-,-,-,-,-,-,-,-,-,"1,672 ","2,580 ","3,205 ","3,905 ","3,704 ","4,558 ","6,559 ","7,391 ","7,984 ","7,264 ","4,299 ","1,650 ",-,-
,,620004225,ツロブテロールテープ０．５ｍｇ「ＱＱ」,枚,2259707S1063,22.3 ,1,"125,185 ","65,073 ","3,021 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"52,103 ","3,174 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,622450101,スピオルトレスピマット２８吸入,キット,2259807G1026,"3,971.9 ",0,"99,788 ",-,-,-,-,-,-,-,-,-,-,"1,003 ","1,659 ","3,684 ","8,630 ","14,259 ","17,440 ","16,235 ","10,151 ","3,455 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,986 ","3,239 ","4,407 ","3,758 ","3,047 ","1,298 ",-,-
,,622308301,メプチンスイングヘラー１０μｇ吸入１００回　１ｍｇ,キット,2259704Y1020,906.0 ,0,"93,481 ",-,"3,041 ","4,269 ","1,688 ","1,041 ","1,214 ","2,050 ","3,034 ","3,639 ","3,759 ","3,224 ","2,760 ","2,796 ","3,429 ","4,060 ","3,927 ","3,040 ","1,925 ",-,-,-,-,"2,050 ","2,897 ","1,550 ","1,250 ","1,824 ","2,456 ","3,240 ","4,238 ","4,031 ","3,308 ","2,710 ","2,569 ","3,083 ","2,795 ","2,375 ","1,902 ","1,110 ",-,-,-
,,622415901,エンクラッセ６２．５μｇエリプタ３０吸入用,キット,2259714G2024,"5,877.7 ",0,"92,008 ",-,-,-,-,-,-,-,-,-,"1,002 ","1,596 ","2,637 ","4,454 ","9,764 ","13,603 ","14,648 ","10,691 ","6,360 ","1,728 ",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,002 ","1,671 ","2,934 ","4,026 ","4,656 ","3,842 ","2,248 ",-,-,-
,,660462001,キュバール５０エアゾール　７ｍｇ８．７ｇ,瓶,2259703G9020,"2,177.3 ",0,"80,676 ","10,562 ","15,740 ","5,407 ",-,-,-,-,-,-,-,-,-,-,-,-,"1,076 ",-,-,-,-,-,"7,665 ","10,899 ","3,659 ",-,-,-,-,"1,078 ","1,037 ","1,202 ","1,093 ","1,280 ",-,"1,141 ","1,271 ","1,396 ","1,049 ",-,-,-,-
,,621903102,メプチンキッドエアー５μｇ吸入１００回　０．０１４３％２．５ｍＬ,キット,2259704G8037,676.2 ,0,"71,618 ","5,867 ","14,622 ","12,609 ","1,075 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,216 ","9,878 ","8,083 ","1,000 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620005750,ツロブテロールテープ１ｍｇ「ＭＥＤ」,枚,2259707S2116,31.4 ,1,"71,506 ","16,657 ","17,767 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,812 ","15,778 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,265 ",-,-,-
,,660433071,ベロテックエロゾル１００　２０ｍｇ１０ｍＬ,瓶,2252704G2020,628.6 ,0,"71,035 ",-,-,-,-,-,-,"1,137 ","2,931 ","6,637 ","8,565 ","7,048 ","5,325 ","4,834 ","4,015 ","2,945 ","2,236 ","1,741 ",-,-,-,-,-,-,-,-,-,-,-,"1,277 ","2,449 ","3,733 ","3,309 ","2,122 ","2,286 ","1,862 ","1,308 ","1,138 ",-,-,-,-,-
,,620005746,ツロブテロールテープ０．５「オーハラ」　０．５ｍｇ,枚,2259707S1128,16.4 ,1,"57,977 ","30,998 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"25,548 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620005747,ツロブテロールテープ０．５ｍｇ「ＭＥＤ」,枚,2259707S1110,22.3 ,1,"54,011 ","29,933 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,917 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,622363901,アノーロエリプタ７吸入用,キット,2259806G1021,"1,899.6 ",0,"44,537 ",-,-,-,-,-,-,-,-,-,-,-,-,"1,147 ","3,267 ","5,757 ","7,730 ","7,225 ","4,410 ","1,853 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,148 ","1,263 ","2,319 ","2,044 ","1,436 ",-,-,-
,,622414801,エクリラ４００μｇジェヌエア６０吸入用,キット,2259713G2020,"5,963.5 ",0,"39,794 ",-,-,-,-,-,-,-,-,-,-,-,"1,073 ","1,762 ","4,293 ","6,524 ","7,410 ","5,389 ","2,673 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,130 ","1,490 ","1,638 ","1,362 ",-,-,-,-
,,622277401,オーキシス９μｇタービュヘイラー６０吸入　５４０μｇ（９μｇ）,キット,2259711G2020,"3,419.6 ",0,"33,021 ",-,-,-,-,-,-,-,-,-,-,-,-,"1,035 ","2,806 ","5,000 ","6,527 ","5,338 ","2,812 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,192 ","1,342 ","1,075 ",-,-,-,-
,,620009204,インタールエアロゾル１ｍｇ　２％１０ｍＬ,瓶,2259701R2036,"2,378.2 ",0,"25,506 ",-,"2,536 ","1,866 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,785 ","1,334 ",-,-,-,-,-,-,"1,005 ",-,-,-,-,-,-,-,-,-,-,-
,,622180901,オーキシス９μｇタービュヘイラー２８吸入　２５２μｇ（９μｇ）,キット,2259711G1024,"1,628.2 ",0,"18,127 ",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,356 ","2,336 ","3,436 ","2,556 ","1,785 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,660463003,アトロベントエロゾル２０μｇ　４．２０ｍｇ１０ｍＬ,瓶,2259702G2021,818.7 ,0,"16,208 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,327 ","1,883 ","1,601 ","1,152 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,622414701,エクリラ４００μｇジェヌエア３０吸入用,キット,2259713G1023,"3,015.8 ",0,"15,082 ",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,493 ","1,940 ","2,508 ","1,968 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620006367,アニスーマ坐剤,個,2259800J1030,20.3 ,0,"12,012 ","5,722 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,292 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,622507801,スピリーバ１．２５μｇレスピマット６０吸入　７５μｇ,キット,2259709G3020,"3,486.7 ",0,"11,794 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620008256,ツロブテロールテープ２ｍｇ「ＳＮ」,枚,2259707S3147,40.7 ,1,"11,376 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,308 ",-,-
,,622415801,エンクラッセ６２．５μｇエリプタ７吸入用,キット,2259714G1028,"1,409.2 ",0,"9,106 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,179 ","1,001 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,662220006,アスプール液（０．５％）,ｍＬ,2252700G1025,17.1 ,0,"4,411 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,105 ",-,-,-,-,-,-
,,620008255,ツロブテロールテープ１ｍｇ「ＳＮ」,枚,2259707S2140,31.4 ,1,"2,252 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620007594,イノリン吸入液０．５％,ｍＬ,2259700G1034,29.2 ,0,"2,062 ",-,-,-,-,-,-,-,-,"1,250 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,620008254,ツロブテロールテープ０．５ｍｇ「ＳＮ」,枚,2259707S1144,22.3 ,1,"1,662 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
226,含嗽剤,660463002,アズノールうがい液４％,ｍＬ,2260700F1021,40.2 ,1,"46,223,880 ","93,272 ","556,554 ","745,374 ","598,229 ","599,881 ","739,759 ","937,685 ","1,019,408 ","1,052,423 ","979,478 ","855,787 ","874,392 ","961,858 ","1,340,930 ","1,524,928 ","1,673,313 ","1,278,445 ","665,939 ","193,499 ","25,405 ","2,460 ","98,198 ","590,179 ","794,958 ","725,199 ","1,052,328 ","1,314,371 ","1,697,620 ","1,793,496 ","1,755,586 ","1,637,244 ","1,579,397 ","1,721,270 ","1,873,404 ","2,462,724 ","2,698,653 ","3,043,223 ","2,495,289 ","1,520,749 ","534,570 ","106,516 ","9,885 "
,,620008969,イソジンガーグル液７％,ｍＬ,2260701F1271,3.1 ,0,"29,114,289 ","39,311 ","211,382 ","338,035 ","340,522 ","357,305 ","414,911 ","491,008 ","569,165 ","627,154 ","693,190 ","718,999 ","800,722 ","861,273 ","1,089,731 ","1,302,811 ","1,507,350 ","1,245,414 ","778,291 ","280,650 ","38,190 ","4,110 ","36,374 ","199,461 ","309,418 ","329,881 ","453,395 ","494,851 ","612,145 ","684,061 ","764,135 ","854,622 ","872,778 ","1,037,409 ","1,039,149 ","1,326,016 ","1,552,221 ","1,912,873 ","1,914,541 ","1,338,497 ","534,859 ","121,881 ","16,201 "
,,620414401,ポビドンヨードガーグル液７％「明治」,ｍＬ,2260701F1409,2.2 ,1,"26,307,014 ","42,662 ","258,545 ","418,830 ","452,932 ","472,054 ","556,053 ","659,566 ","678,763 ","735,447 ","721,436 ","673,347 ","714,715 ","726,030 ","931,321 ","1,059,747 ","1,181,869 ","937,765 ","542,151 ","189,380 ","19,810 ","1,410 ","40,530 ","249,385 ","392,326 ","444,991 ","608,370 ","664,016 ","774,985 ","779,211 ","785,213 ","781,735 ","792,692 ","867,460 ","863,865 ","1,110,945 ","1,200,780 ","1,418,633 ","1,270,107 ","859,351 ","354,251 ","66,105 ","8,230 "
,,620003851,含嗽用ハチアズレ顆粒　０．１％,ｇ,2260702F1055,6.0 ,0,"21,469,180 ","12,073 ","53,447 ","88,521 ","90,580 ","104,784 ","145,103 ","160,250 ","215,736 ","240,492 ","265,218 ","289,792 ","339,958 ","489,400 ","855,647 ","1,049,473 ","1,194,519 ","922,418 ","517,335 ","163,859 ","21,528 ","2,756 ","10,066 ","53,574 ","87,720 ","105,209 ","172,043 ","229,183 ","296,478 ","353,970 ","448,658 ","547,749 ","618,197 ","759,336 ","947,581 ","1,509,309 ","1,834,782 ","2,307,425 ","2,042,199 ","1,297,229 ","501,839 ","107,394 ","16,352 "
,,620006470,ネオヨジンガーグル７％,ｍＬ,2260701F1212,2.2 ,1,"12,201,587 ","17,140 ","100,582 ","168,005 ","199,150 ","229,350 ","278,700 ","331,010 ","346,278 ","353,040 ","343,525 ","305,921 ","322,042 ","336,790 ","446,761 ","499,398 ","513,096 ","406,273 ","251,970 ","79,720 ","12,590 ","2,240 ","14,760 ","100,080 ","162,491 ","200,790 ","304,115 ","329,263 ","366,930 ","370,634 ","363,507 ","354,088 ","362,433 ","410,890 ","423,562 ","535,958 ","566,865 ","612,923 ","566,914 ","411,884 ","154,370 ","39,990 ","5,560 "
,,620416001,ＡＺ含嗽用配合細粒「ＮＰ」　０．１％,ｇ,2260702F1063,6.0 ,1,"9,841,227 ","5,567 ","24,968 ","42,386 ","42,910 ","56,590 ","74,994 ","85,768 ","95,394 ","117,362 ","152,626 ","158,565 ","205,317 ","262,589 ","488,027 ","632,613 ","587,292 ","390,834 ","188,964 ","45,096 ","5,286 ",-,-,"26,949 ","44,999 ","49,675 ","88,226 ","120,596 ","148,487 ","187,209 ","216,330 ","275,547 ","317,055 ","391,571 ","482,472 ","739,118 ","869,068 ","940,115 ","721,419 ","379,195 ","147,405 ","23,932 ","5,038 "
