"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,1119402A1030,844.0 ,1,"37,889 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,"19,796 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,1119402A1022,"1,232.0 ",0,"16,657 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,1115400X1019,889.0 ,0,"14,359 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,1115400X2015,"1,104.0 ",0,"13,891 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,1119400A3026,292.0 ,0,"7,358 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,1119402A1073,844.0 ,1,"7,260 "
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,1119401A1036,123.0 ,0,"7,208 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,1119400A1031,718.0 ,0,"7,120 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,1119402G2021,"2,084.0 ",0,"5,712 "
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,1119402A1103,844.0 ,1,"4,294 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,1119402G1025,"1,448.0 ",0,"4,233 "
620002989,プロポフォール注１％「Ｆ」　２００ｍｇ２０ｍＬ,1119402A4021,844.0 ,1,"3,935 "
621702402,プロポフォール１％静注２０ｍＬ「ファイザー」　２００ｍｇ,1119402A1111,844.0 ,1,"2,970 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,1119402A2037,"1,193.0 ",1,"2,265 "
621702401,プロポフォール１％静注２０ｍＬ「マイラン」　２００ｍｇ,1119402A1090,844.0 ,1,"2,077 "
621702502,プロポフォール１％静注５０ｍＬ「ファイザー」　５００ｍｇ,1119402A2142,"1,193.0 ",1,"1,972 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,1115403D4015,469.0 ,0,"1,899 "
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,1119400A2038,"1,526.0 ",0,"1,068 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,"1,004 "
621702501,プロポフォール１％静注５０ｍＬ「マイラン」　５００ｍｇ,1119402A2126,"1,193.0 ",1,-
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,1119402A2029,"1,830.0 ",0,-
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,1119402A2100,"1,193.0 ",1,-
622339901,プロポフォール静注１％５０ｍＬ「ＦＫ」　５００ｍｇ,1119402A2134,890.0 ,1,-
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,1119402A3084,"1,003.0 ",1,-
620002963,注射用チアミラールナトリウム　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,-
622255301,１％ディプリバン注　２００ｍｇ２０ｍＬ,1119402A4056,"1,232.0 ",0,-
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,1119402A3025,"1,841.0 ",1,-
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,1119402A5028,"1,841.0 ",1,-
641110010,注射用チオペンタールナトリウム　５００ｍｇ,1115400X2015,"1,104.0 ",0,-
620005677,注射用チアミラールナトリウム　３００ｍｇ（溶解液付）,1115403D4015,469.0 ,0,-
620002990,プロポフォール注１％「Ｆ」　５００ｍｇ５０ｍＬ,1119402A2053,"1,193.0 ",1,-
641110009,注射用チオペンタールナトリウム　３００ｍｇ,1115400X1019,889.0 ,0,-
622207301,プロポフォール１％静注１００ｍＬ「日医工」　１ｇ,1119402A3050,"1,003.0 ",1,-
620008171,１％ディプリバン注　１ｇ１００ｍＬ,1119402A3033,"2,110.0 ",0,-
622224202,プロポフォール１％静注１００ｍＬ「ファイザー」　１ｇ,1119402A3092,"1,841.0 ",1,-
622121401,プロポフォール注１％「Ｆ」　１ｇ１００ｍＬ,1119402A3041,"1,841.0 ",1,-
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,1124401A1052,133.0 ,0,"1,059,327 "
640454021,セルシン注射液５ｍｇ,1124402A1030,67.0 ,0,"604,567 "
641170026,ホリゾン注射液１０ｍｇ,1124402A2045,98.0 ,0,"580,103 "
640454022,セルシン注射液１０ｍｇ,1124402A2053,98.0 ,0,"579,189 "
620004200,ミダゾラム注１０ｍｇ「サンド」　２ｍＬ,1124401A1060,75.0 ,1,"515,325 "
620003835,ロヒプノール静注用２ｍｇ,1124400A1040,144.0 ,0,"287,586 "
