"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620004233,ツロブテロールテープ２「ＥＭＥＣ」　２ｍｇ,2259707S3040,51.2 ,1,"236,763 "
621951901,ツロブテロールテープ１ｍｇ「ＮＰ」,2259707S2159,28.7 ,1,"227,515 "
620004235,ツロブテロールテープ２ｍｇ「ＱＱ」,2259707S3066,51.2 ,1,"220,873 "
620008998,サルタノールインヘラー１００μｇ　０．１６％１３．５ｍＬ,2254700G4037,941.3 ,0,"198,692 "
620005753,ツロブテロールテープ２ｍｇ「ＭＥＤ」,2259707S3112,51.2 ,1,"185,393 "
620000374,クリード吸入液１％　２ｍＬ,2259701G1055,40.3 ,1,"178,279 "
620005749,ツロブテロールテープ１「オーハラ」　１ｍｇ,2259707S2124,28.7 ,1,"165,899 "
620004219,セキナリンテープ０．５ｍｇ,2259707S1039,28.0 ,1,"164,858 "
660462003,セレベント２５ロタディスク　２５μｇ,2259708G1022,45.9 ,0,"157,513 "
621556501,クロモグリク酸Ｎａ吸入液１％「サワイ」　２ｍＬ,2259701G1071,40.3 ,1,"145,484 "
621763101,ツロブテロールテープ２ｍｇ「タカタ」,2259707S3198,51.2 ,1,"100,410 "
620005754,ツロブテロールテープ２ｍｇ「テイコク」,2259707S3139,51.2 ,1,"90,147 "
660462002,キュバール１００エアゾール　１５ｍｇ８．７ｇ,2259703Y1025,"3,235.1 ",0,"83,888 "
621762701,ツロブテロールテープ１ｍｇ「ＹＰ」,2259707S2183,39.2 ,1,"79,746 "
620005750,ツロブテロールテープ１ｍｇ「ＭＥＤ」,2259707S2116,39.2 ,1,"71,215 "
620008256,ツロブテロールテープ２ｍｇ「ＳＮ」,2259707S3147,51.2 ,1,"70,905 "
620005254,インタールカプセル外用２０ｍｇ,2259701A1036,39.6 ,0,"68,168 "
622148601,ツロブテロールテープ１ｍｇ「ファイザー」,2259707S2175,28.7 ,1,"67,851 "
621951801,ツロブテロールテープ０．５ｍｇ「ＮＰ」,2259707S1152,19.5 ,1,"63,105 "
620004230,ツロブテロールテープ１ｍｇ「ＱＱ」,2259707S2060,39.2 ,1,"61,830 "
621763001,ツロブテロールテープ１ｍｇ「タカタ」,2259707S2191,39.2 ,1,"55,273 "
620004227,ツロブテロールテープ０．５ｍｇ「日医工」,2259707S1080,28.0 ,1,"50,699 "
620001944,セレベント５０ディスカス　５０μｇ６０ブリスター,2259708G3025,"4,056.6 ",0,"44,463 "
622049401,ツロブテロールテープ２ｍｇ「アメル」,2259707S3163,51.2 ,1,"43,504 "
660433071,ベロテックエロゾル１００　２０ｍｇ１０ｍＬ,2252704G2020,679.1 ,0,"39,049 "
620004228,ツロブテロールテープ１「ＥＭＥＣ」　１ｍｇ,2259707S2043,39.2 ,1,"36,060 "
660453021,ストメリンＤエアロゾル　５ｍＬ,2259803X1036,582.3 ,0,"34,505 "
620005746,ツロブテロールテープ０．５「オーハラ」　０．５ｍｇ,2259707S1128,19.5 ,1,"31,750 "
622308301,メプチンスイングヘラー１０μｇ吸入１００回　１ｍｇ,2259704Y1020,"1,006.8 ",0,"29,102 "
662220006,アスプール液（０．５％）,2252700G1025,17.6 ,0,"28,221 "
660462001,キュバール５０エアゾール　７ｍｇ８．７ｇ,2259703G9020,"2,447.0 ",0,"26,135 "
620008255,ツロブテロールテープ１ｍｇ「ＳＮ」,2259707S2140,39.2 ,1,"23,667 "
620007594,イノリン吸入液０．５％,2259700G1034,30.2 ,0,"21,637 "
621903102,メプチンキッドエアー５μｇ吸入１００回　０．０１４３％２．５ｍＬ,2259704G8037,743.5 ,0,"21,380 "
621762601,ツロブテロールテープ０．５ｍｇ「ＹＰ」,2259707S1187,28.0 ,1,"20,736 "
622363901,アノーロエリプタ７吸入用,2259806G1021,"1,997.2 ",0,"18,741 "
