院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	プロピベリン塩酸塩錠10mg「あすか」	Propiverine Hydrochloride	あすか製薬	武田薬品工業	錠：内服	10mg1錠	24.90円／錠	後局処	排尿抑制ベンジル酸誘導体	259	プロピベリン塩酸塩	propiverine hydrochloride（JP）	2590007F1323	116745002	薬価収載2018.06.15	TZ217／10	白		乳糖水和物，結晶セルロース，カルメロースカルシウム，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，カルナウバロウ
	プロピベリン塩酸塩錠10mg「武田テバ」	Propiverine Hydrochloride“TAKEDA TEVA”	武田テバ薬品	武田テバファーマ，武田薬品工業	錠：内服	10mg1錠	16.40円／錠	後局処	排尿抑制ベンジル酸誘導体	259	プロピベリン塩酸塩	propiverine hydrochloride（JP）	2590007F1331	116859405	薬価収載2018.12.14	HYZ17／10	白		乳糖水和物，セルロース，カルメロースCa，ステアリン酸Mg，ヒプロメロース，マクロゴール，酸化チタン，カルナウバロウ
	プロピベリン塩酸塩錠20mg「あすか」	Propiverine Hydrochloride	あすか製薬	武田薬品工業	錠：内服	20mg1錠	35.20円／錠	後局処	排尿抑制ベンジル酸誘導体	259	プロピベリン塩酸塩	propiverine hydrochloride（JP）	2590007F2311	116746702	薬価収載2018.06.15	TZ227／20	白		乳糖水和物，トウモロコシデンプン，結晶セルロース，低置換度ヒドロキシプロピルセルロース，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，カルナウバロウ
	プロピベリン塩酸塩錠20mg「武田テバ」	Propiverine Hydrochloride“TAKEDA TEVA”	武田テバ薬品	武田テバファーマ，武田薬品工業	錠：内服	20mg1錠	35.20円／錠	後局処	排尿抑制ベンジル酸誘導体	259	プロピベリン塩酸塩	propiverine hydrochloride（JP）	2590007F2320	116860005	薬価収載2018.12.14	HYZ18／20	白		乳糖水和物，トウモロコシデンプン，セルロース，ヒドロキシプロピルセルロース，ステアリン酸Mg，ヒプロメロース，マクロゴール，酸化チタン，カルナウバロウ
	ブロプレス錠2	Blopress	武田テバ薬品	武田薬品工業	錠：内服	2mg1錠	27.20円／錠	局処	アンギオテンシンII受容体拮抗剤	214，217	カンデサルタン シレキセチル	candesartan cilexetil（JP）	2149040F1026	103021101	薬価収載1999.05.07	〓295／2	白～帯黄白		トウモロコシデンプン，カルメロースカルシウム，ヒドロキシプロピルセルロース，マクロゴール6000，ステアリン酸マグネシウム，乳糖水和物
	ブロプレス錠4	Blopress	武田テバ薬品	武田薬品工業	錠：内服	4mg1錠	51.60円／錠	局処	アンギオテンシンII受容体拮抗剤	214，217	カンデサルタン シレキセチル	candesartan cilexetil（JP）	2149040F2022	103022801	薬価収載1999.05.07	〓296／4	白～帯黄白	○	トウモロコシデンプン，カルメロースカルシウム，ヒドロキシプロピルセルロース，マクロゴール6000，ステアリン酸マグネシウム，乳糖水和物
	ブロプレス錠8	Blopress	武田テバ薬品	武田薬品工業	錠：内服	8mg1錠	99.70円／錠	局処	アンギオテンシンII受容体拮抗剤	214，217	カンデサルタン シレキセチル	candesartan cilexetil（JP）	2149040F3029	103023501	薬価収載1999.05.07	〓297／8	極薄橙	○	トウモロコシデンプン，カルメロースカルシウム，ヒドロキシプロピルセルロース，マクロゴール6000，ステアリン酸マグネシウム，乳糖水和物，黄色5号
	ブロプレス錠12	Blopress	武田テバ薬品	武田薬品工業	錠：内服	12mg1錠	148.70円／錠	局処	アンギオテンシンII受容体拮抗剤	214	カンデサルタン シレキセチル	candesartan cilexetil（JP）	2149040F4025	103024201	薬価収載1999.05.07	〓298／12	薄橙	○	トウモロコシデンプン，カルメロースカルシウム，ヒドロキシプロピルセルロース，マクロゴール6000，ステアリン酸マグネシウム，乳糖水和物，黄色5号
	ブロムヘキシン塩酸塩吸入液0.2％「タイヨー」	Bromhexine HCl	武田テバファーマ	武田薬品工業	吸入剤：外用〔口腔投与剤〕	0.2％1mL	7.00円／mL	後	気道粘液溶解剤	223	ブロムヘキシン塩酸塩	bromhexine hydrochloride（JP）	2234700G1043	103891001，103891002	薬価収載2007.12.21				酒石酸，パラオキシ安息香酸メチル，pH調節剤
	ブロムヘキシン塩酸塩注射液4mg「タイヨー」	Bromhexine HCl	武田テバファーマ	武田薬品工業	注射液：注射	0.2％2mL1管	57.00円／管	後処	気道粘液溶解剤	223	ブロムヘキシン塩酸塩	bromhexine hydrochloride（JP）	2234400A1054	103889701，103889702	薬価収載2007.06.15				ブドウ糖，酒石酸，pH調節剤
	ベイスンOD錠0.2	Basen	武田テバ薬品	武田薬品工業	口腔内崩壊錠：内服	0.2mg1錠	24.80円／錠	処	α-グルコシダーゼ阻害・食後過血糖改善剤	396	ボグリボース	voglibose（JP）	3969004F3023	116350601	薬価収載2004.07.09	〓341／0.2	帯黄白	○	ヒドロキシプロピルセルロース，黄色三二酸化鉄，トウモロコシデンプン，アスパルテーム（L-フェニルアラニン化合物），結晶セルロース，クロスポビドン，ステアリン酸マグネシウム，D-マンニトール
	ベイスンOD錠0.3	Basen	武田テバ薬品	武田薬品工業	口腔内崩壊錠：内服	0.3mg1錠	33.90円／錠	処	α-グルコシダーゼ阻害・食後過血糖改善剤	396	ボグリボース	voglibose（JP）	3969004F4020	116562301	薬価収載2004.07.09	〓342／0.3	微黄		ヒドロキシプロピルセルロース，黄色三二酸化鉄，トウモロコシデンプン，アスパルテーム（L-フェニルアラニン化合物），結晶セルロース，クロスポビドン，ステアリン酸マグネシウム，D-マンニトール
	ベイスン錠0.2	Basen	武田テバ薬品	武田薬品工業	錠：内服	0.2mg1錠	24.80円／錠	局処	α-グルコシダーゼ阻害・食後過血糖改善剤	396	ボグリボース	voglibose（JP）	3969004F1020	108748201	薬価収載1994.08.26	〓351／0.2	白～帯黄白	○	トウモロコシデンプン，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，乳糖水和物
	ベイスン錠0.3	Basen	武田テバ薬品	武田薬品工業	錠：内服	0.3mg1錠	33.90円／錠	局処	α-グルコシダーゼ阻害・食後過血糖改善剤	396	ボグリボース	voglibose（JP）	3969004F2027	108749901	薬価収載1994.08.26	〓352／0.3	白～帯黄白		トウモロコシデンプン，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，乳糖水和物
	ベクティビックス点滴静注100mg	Vectibix	武田薬品工業		注射液：注射	100mg5mL1瓶	79,165.00円／瓶	生劇処	抗悪性腫瘍剤・ヒト型抗EGFRモノクローナル抗体	429	パニツムマブ（遺伝子組換え）	panitumumab（genetical recombination）（JAN）	4291417A1020	119859101	薬価収載2010.06.11				塩化ナトリウム，酢酸ナトリウム水和物，pH調節剤
	ベクティビックス点滴静注400mg	Vectibix	武田薬品工業		注射液：注射	400mg20mL1瓶	301,476.00円／瓶	生劇処	抗悪性腫瘍剤・ヒト型抗EGFRモノクローナル抗体	429	パニツムマブ（遺伝子組換え）	panitumumab（genetical recombination）（JAN）	4291417A2027	120862701	薬価収載2011.09.22				塩化ナトリウム，酢酸ナトリウム水和物，pH調節剤
	ベクロメタゾン点鼻液50μg「CEO」	Beclometasone	セオリアファーマ	武田薬品工業	噴霧剤：外用〔眼・耳鼻科用剤〕	8.5mg8.5g1瓶	377.20円／瓶	後処	副腎皮質ホルモン	132	ベクロメタゾンプロピオン酸エステル	beclometasone dipropionate（JP）	1329702R3209	102305301	薬価収載2020.06.01，旧：アルロイヤー点鼻液50μg				クエン酸水和物，クエン酸ナトリウム水和物，結晶セルロース・カルメロースナトリウム，濃グリセリン，ハッカ油，プロピレングリコール，ベンザルコニウム塩化物，マクロゴール4000
	ベザフィブラート徐放錠100mg「武田テバ」	Bezafibrate“TAKEDA TEVA”	武田テバファーマ	武田薬品工業	徐放錠：内服	100mg1錠	10.10円／錠	後局処	高脂血症治療剤	218	ベザフィブラート	bezafibrate（JP）	2183005G2192	103411002	薬価収載2020.06.01，旧：ベスタリットL錠100	ベサフィブラート〓100	白		酸化チタン，ステアリン酸マグネシウム，トウモロコシデンプン，乳糖水和物，ヒプロメロース，ポビドン，マクロゴール6000
	ベザフィブラート徐放錠200mg「武田テバ」	Bezafibrate“TAKEDA TEVA”	武田テバファーマ	武田薬品工業	徐放錠：内服	200mg1錠	10.10円／錠	後局処	高脂血症治療剤	218	ベザフィブラート	bezafibrate（JP）	2183005G1331	103396003	薬価収載2020.06.01，旧：ベスタリットL錠200	ベサフィブラート〓200	白		酸化チタン，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，乳糖水和物，ヒドロキシプロピルセルロース，ヒプロメロース，マクロゴール6000
	【削除品】ベスタリットL錠100	Vesturit	武田テバファーマ	武田薬品工業	徐放錠：内服	100mg1錠	10.10円／錠	後局処	高脂血症治療剤	218	ベザフィブラート	bezafibrate（JP）	2183005G2060		薬価削除2021.03.31〔代替品：ベザフィブラート徐放錠100mg「武田テバ」〕				酸化チタン，ステアリン酸マグネシウム，トウモロコシデンプン，乳糖水和物，ヒプロメロース，ポビドン，マクロゴール6000
	【削除品】ベスタリットL錠200	Vesturit	武田テバファーマ	武田薬品工業	徐放錠：内服	200mg1錠	10.10円／錠	後局処	高脂血症治療剤	218	ベザフィブラート	bezafibrate（JP）	2183005G1080		薬価削除2021.03.31〔代替品：ベザフィブラート徐放錠200mg「武田テバ」〕				酸化チタン，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，乳糖水和物，ヒドロキシプロピルセルロース，ヒプロメロース，マクロゴール6000
	ベストコール筋注用0.5g	Bestcall	武田テバ薬品	武田薬品工業	筋注用：注射	500mg1瓶（溶解液付）	741.00円／瓶	劇処	セフェム系抗生物質	613	セフメノキシム塩酸塩	cefmenoxime hydrochloride（JP）	6132413E1027	111054801					無水炭酸ナトリウム
	ベストコール静注用0.5g	Bestcall	武田テバ薬品	武田薬品工業	静注用：注射	500mg1瓶	742.00円／瓶	処	セフェム系抗生物質	613	セフメノキシム塩酸塩	cefmenoxime hydrochloride（JP）	6132413F1022	111055501					無水炭酸ナトリウム
	ベストコール静注用1g	Bestcall	武田テバ薬品	武田薬品工業	静注用：注射	1g1瓶	1,174.00円／瓶	処	セフェム系抗生物質	613	セフメノキシム塩酸塩	cefmenoxime hydrochloride（JP）	6132413F2029	111056201					無水炭酸ナトリウム
	ベストロン耳鼻科用1％	Bestron	千寿製薬	セオリアファーマ，杏林製薬，武田薬品工業	液：外用〔眼・耳鼻科用剤〕	10mg1mL（溶解後の液として）	92.70円／mL	処	セフェム系抗生物質	132	セフメノキシム塩酸塩	cefmenoxime hydrochloride（JP）	1325702Q1040	102286501，102286502	薬価収載2007.12.21				乾燥炭酸ナトリウム，エデト酸ナトリウム水和物，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，ホウ酸，リン酸水素ナトリウム水和物，リン酸二水素ナトリウム，塩化ナトリウム
	ベストロン点眼用0.5％	Bestron	千寿製薬	武田薬品工業	液：外用〔眼・耳鼻科用剤〕	5mg1mL（溶解後の液として）	54.80円／mL	処	セフェム系抗生物質	131	セフメノキシム塩酸塩	cefmenoxime hydrochloride（JP）	1317713Q1038	102075501	薬価収載2007.12.21				乾燥炭酸ナトリウム，エデト酸ナトリウム水和物，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，ホウ酸，リン酸水素ナトリウム水和物，リン酸二水素ナトリウム，塩化ナトリウム
	ベタキソロール塩酸塩錠5mg「テバ」	Betaxolol Hydrochloride“TEVA”	武田テバファーマ	武田薬品工業	錠：内服	5mg1錠	16.40円／錠	後処	β1-遮断剤	214	ベタキソロール塩酸塩	betaxolol hydrochloride（JP）	2149031F1078	114695001，114695003	薬価収載2013.12.13	BX5 t BX5mg	白	○	カルメロース，ステアリン酸マグネシウム，トウモロコシデンプン，ヒドロキシプロピルセルロース，D-マンニトール，メタケイ酸アルミン酸マグネシウム
	ベタキソロール塩酸塩錠10mg「テバ」	Betaxolol Hydrochloride“TEVA”	武田テバファーマ	武田薬品工業	錠：内服	10mg1錠	17.90円／錠	後処	β1-遮断剤	214	ベタキソロール塩酸塩	betaxolol hydrochloride（JP）	2149031F2082	114698101，114698103	薬価収載2013.12.13	BX10 t BX10mg	白	○	カルメロース，ステアリン酸マグネシウム，トウモロコシデンプン，ヒドロキシプロピルセルロース，D-マンニトール，メタケイ酸アルミン酸マグネシウム
