院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	フェアストン錠40	Fareston	日本化薬		錠：内服	40mg1錠	302.00円／錠	劇処	乳癌治療剤	429	トレミフェンクエン酸塩	toremifene citrate（JAN）	4291007F1021	109224001	薬価収載1995.05.26	NK7104／40	白		トウモロコシデンプン，乳糖水和物，ポビドン，カルボキシメチルスターチNa，セルロース，ステアリン酸Mg，無水ケイ酸
	フェアストン錠60	Fareston	日本化薬		錠：内服	60mg1錠	457.60円／錠	劇処	乳癌治療剤	429	トレミフェンクエン酸塩	toremifene citrate（JAN）	4291007F2028	109225701	薬価収載1995.05.26	NK7106／60	白		トウモロコシデンプン，乳糖水和物，ポビドン，カルボキシメチルスターチNa，セルロース，ステアリン酸Mg，無水ケイ酸
	フェキソフェナジン塩酸塩DS6％「タカタ」	Fexofenadine Hydrochloride	高田製薬		ドライシロップ：内服	6％1g	59.00円／g	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023R1039	123348301	薬価収載2014.06.20				D-マンニトール，エチルセルロース，タルク，トリアセチン，ヒプロメロース，ヒドロキシプロピルセルロース，アスパルテーム（L-フェニルアラニン化合物），サッカリンナトリウム水和物，カラメル，ステビア抽出精製物，アセスルファムカリウム，ステアリン酸マグネシウム，香料
	フェキソフェナジン塩酸塩DS6％「トーワ」	Fexofenadine Hydrochloride“TOWA”	東和薬品		ドライシロップ：内服	6％1g	59.00円／g	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023R1020	122814401	薬価収載2013.12.13				D-マンニトール，エチルセルロース，タルク，ヒドロキシプロピルセルロース，アスパルテーム（L-フェニルアラニン化合物），香料
	フェキソフェナジン塩酸塩OD錠30mg「CEO」	Fexofenadine Hydrochloride	セオリアファーマ	武田薬品工業	口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4058	122312501	薬価収載2013.12.13	CEO105／30	白	○	結晶セルロース，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，D-マンニトール，タルク，アミノアルキルメタクリレートコポリマーRS分散液，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム，アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
	フェキソフェナジン塩酸塩OD錠30mg「EE」	Fexofenadine Hydrochloride「EE」	エルメッドエーザイ		口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4074	123492301	薬価収載2014.06.20	30EE／フェキソフェナジン フェキソフェナジン30EE	白	○	アスパルテーム（L-フェニルアラニン化合物），アミノアルキルメタクリレートコポリマーE，含水二酸化ケイ素，クロスポビドン，結晶セルロース，結晶セルロース（粒），香料，ステアリン酸マグネシウム，乳糖水和物，ポビドン
	フェキソフェナジン塩酸塩OD錠30mg「KN」	Fexofenadine Hydrochloride「KN」	小林化工		口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4082	123378001	薬価収載2014.06.20	KN404／フェキソOD30	白	○	ポビドン，結晶セルロース（粒），アミノアルキルメタクリレートコポリマーE，含水二酸化ケイ素，乳糖水和物，結晶セルロース，クロスポビドン，アスパルテーム（L-フェニルアラニン化合物），ステアリン酸マグネシウム，香料
	フェキソフェナジン塩酸塩OD錠30mg「NP」	Fexofenadine Hydrochloride	ニプロ		口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4023	122587701	薬価収載2013.06.21	NP551／30 NP-551	白	○	結晶セルロース，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，D-マンニトール，タルク，アミノアルキルメタクリレートコポリマーRS分散液，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム，アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
	フェキソフェナジン塩酸塩OD錠30mg「サワイ」	Fexofenadine Hydrochloride	沢井製薬		口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4066	122963901	薬価収載2013.12.13	SW FX30／30	白		アスパルテーム（L-フェニルアラニン化合物），アミノアルキルメタクリレートコポリマーE，クロスポビドン，結晶セルロース，タウマチン，二酸化ケイ素，フマル酸ステアリルNa，ポビドン，D-マンニトール，香料
	フェキソフェナジン塩酸塩OD錠30mg「トーワ」	Fexofenadine Hydrochloride“TOWA”	東和薬品		口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4031	122367501	薬価収載2013.06.21	フェキソフェナジンOD30トーワ	白		D-マンニトール，ヒドロキシプロピルセルロース，タルク，アミノアルキルメタクリレートコポリマーE，軽質無水ケイ酸，アスパルテーム（L-フェニルアラニン化合物），香料，ステアリン酸Mg，その他3成分
	フェキソフェナジン塩酸塩OD錠30mg「ファイザー」	Fexofenadine Hydrochloride［Pfizer］	ファイザー		口腔内崩壊錠：内服	30mg1錠	18.40円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F4040	122330901	薬価収載2013.06.21	PF FE／D30 PF FE D30	白	○	D-マンニトール，タルク，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，アンモニオアルキルメタクリレートコポリマー分散液，結晶セルロース，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム，アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
	フェキソフェナジン塩酸塩OD錠60mg「CEO」	Fexofenadine Hydrochloride	セオリアファーマ	武田薬品工業	口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3078	122313201	薬価収載2013.12.13	CEO106／60	白	○	結晶セルロース，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，D-マンニトール，タルク，アミノアルキルメタクリレートコポリマーRS分散液，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム，アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
	フェキソフェナジン塩酸塩OD錠60mg「EE」	Fexofenadine Hydrochloride「EE」	エルメッドエーザイ		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3086	122921901	薬価収載2013.12.13	60EE／フェキソフェナジン フェキソフェナジン60EE	白	○	アスパルテーム（L-フェニルアラニン化合物），アミノアルキルメタクリレートコポリマーE，含水二酸化ケイ素，クロスポビドン，結晶セルロース，結晶セルロース（粒），香料，ステアリン酸マグネシウム，乳糖水和物，ポビドン
	フェキソフェナジン塩酸塩OD錠60mg「FFP」	Fexofenadine Hydrochloride「FFP」	富士フイルムファーマ		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3035	122477101	薬価収載2013.06.21	FF147／60	白	○	D-マンニトール，タルク，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，アンモニオアルキルメタクリレートコポリマー分散液，結晶セルロース，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム（L-フェニルアラニン化合物），アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
