院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	アレルゲンスクラッチエキス「トリイ」アキノキリン草花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アサ布		鳥居薬品	鳥居薬品	注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アサリ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アジ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アスペルギルス		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1970.08.01				濃グリセリン
	アレルゲンスクラッチエキス「トリイ」アルテルナリア		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1970.08.01				濃グリセリン
	アレルゲンスクラッチエキス「トリイ」イースト（パン種）		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」イカ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」犬毛		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」イネワラ		鳥居薬品	鳥居薬品	注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」イワシ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」兎毛		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」エダマメ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」エビ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カキ（貝）		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カツオ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カナムグラ花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カニ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カモガヤ花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1970.08.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カレイ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」カンジダ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1970.08.01				濃グリセリン
	アレルゲンスクラッチエキス「トリイ」キク花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」キス		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」キヌ		鳥居薬品	鳥居薬品	注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」キャベツ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」牛乳		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」クラドスポリウム		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1970.08.01				濃グリセリン
