type,code,ingredient,norm,v1,v2,v3,name,maker,generic,brand,authorized,price,deadline,note
内用薬,5200015D1025,葛根湯加川きゅう辛夷エキス,１ｇ,,,,オースギ葛根湯加川きゅう辛夷エキスＧ,大杉製薬,,,,7.20 ,,
内用薬,5200015D1076,葛根湯加川きゅう辛夷エキス,１ｇ,,,,ＪＰＳ葛根湯加川きゅう辛夷エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,7.60 ,,
内用薬,5200015D1084,葛根湯加川きゅう辛夷エキス,１ｇ,,,,ツムラ葛根湯加川きゅう辛夷エキス顆粒（医療用）,ツムラ,,,,10.30 ,,
内用薬,5200015D1092,葛根湯加川きゅう辛夷エキス,１ｇ,,,,テイコク葛根湯加川きゅう辛夷エキス顆粒,帝國漢方製薬,,,,5.70 ,,
内用薬,5200015D1106,葛根湯加川きゅう辛夷エキス,１ｇ,,,,本草葛根湯加川きゅう辛夷エキス顆粒－Ｍ,本草製薬,,,,6.30 ,,
内用薬,5200015F1034,葛根湯加川きゅう辛夷エキス,１錠,,,,クラシエ葛根湯加川きゅう辛夷エキス錠,大峰堂薬品工業,,,,5.00 ,,
内用薬,5200016C1032,加味帰脾湯エキス,１ｇ,,,,〔東洋〕加味帰脾湯エキス細粒,東洋薬行,,,,19.20 ,,
内用薬,5200016C1040,加味帰脾湯エキス,１ｇ,,,,クラシエ加味帰脾湯エキス細粒,クラシエ製薬,,,,25.00 ,,
内用薬,5200016D1020,加味帰脾湯エキス,１ｇ,,,,オースギ加味帰脾湯エキスＧ,大杉製薬,,,,11.80 ,,
内用薬,5200016D1046,加味帰脾湯エキス,１ｇ,,,,太虎堂の加味帰脾湯エキス顆粒,太虎精堂製薬,,,,16.20 ,,
内用薬,5200016D1054,加味帰脾湯エキス,１ｇ,,,,ツムラ加味帰脾湯エキス顆粒（医療用）,ツムラ,,,,26.70 ,,
内用薬,5200016F1039,加味帰脾湯エキス,１錠,,,,クラシエ加味帰脾湯エキス錠,大峰堂薬品工業,,,,6.50 ,,
内用薬,5200017B1023,加味逍遙散エキス,１ｇ,,,,太虎堂の加味逍遙散エキス散,太虎精堂製薬,,,,13.40 ,,
内用薬,5200017C1037,加味逍遙散エキス,１ｇ,,,,コタロー加味逍遙散エキス細粒,小太郎漢方製薬,,,,12.50 ,,
内用薬,5200017C1045,加味逍遙散エキス,１ｇ,,,,ジュンコウ加味逍遙散ＦＣエキス細粒医療用,康和薬通,,,,21.40 ,,
内用薬,5200017C1053,加味逍遙散エキス,１ｇ,,,,〔東洋〕加味逍遙散エキス細粒,東洋薬行,,,,14.60 ,,
内用薬,5200017C1061,加味逍遙散エキス,１ｇ,,,,クラシエ加味逍遙散料エキス細粒,クラシエ製薬,,,,19.00 ,,
内用薬,5200017D1024,加味逍遙散エキス,１ｇ,,,,オースギ加味逍遙散エキスＧ,大杉製薬,,,,11.30 ,,
内用薬,5200017D1067,加味逍遙散エキス,１ｇ,,,,ＪＰＳ加味逍遙散料エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,14.00 ,,
内用薬,5200017D1075,加味逍遙散エキス,１ｇ,,,,太虎堂の加味逍遙散エキス顆粒,太虎精堂製薬,,,,13.00 ,,
内用薬,5200017D1083,加味逍遙散エキス,１ｇ,,,,ツムラ加味逍遙散エキス顆粒（医療用）,ツムラ,,,,16.40 ,,
内用薬,5200017D1091,加味逍遙散エキス,１ｇ,,,,テイコク加味逍遙散エキス顆粒,帝國漢方製薬,,,,7.60 ,,
内用薬,5200017D1105,加味逍遙散エキス,１ｇ,,,,本草加味逍遙散エキス顆粒－Ｍ,本草製薬,,,,7.80 ,,
内用薬,5200017D1113,加味逍遙散エキス,１ｇ,,,,マツウラ加味逍遙散エキス顆粒,松浦薬業,,,,9.60 ,,
内用薬,5200018C1031,甘草湯エキス,１ｇ,,,,クラシエ甘草湯エキス細粒,クラシエ製薬,,,,6.00 ,,
内用薬,5200019C1028,甘麦大棗湯エキス,１ｇ,,,,コタロー甘麦大棗湯エキス細粒,小太郎漢方製薬,,,,6.50 ,,
内用薬,5200019D1023,甘麦大棗湯エキス,１ｇ,,,,オースギ甘麦大棗湯エキスＴＧ,大杉製薬,,,,6.30 ,,
内用薬,5200019D1031,甘麦大棗湯エキス,１ｇ,,,,ツムラ甘麦大棗湯エキス顆粒（医療用）,ツムラ,,,,7.50 ,,
内用薬,5200020D1026,桔梗湯エキス,１ｇ,,,,ツムラ桔梗湯エキス顆粒（医療用）,ツムラ,,,,5.80 ,,
内用薬,5200021C1025,桔梗石膏エキス,１ｇ,,,,コタロー桔梗石膏エキス細粒,小太郎漢方製薬,,,,8.30 ,,
内用薬,5200022C1020,帰脾湯エキス,１ｇ,,,,ジュンコウ帰脾湯ＦＣエキス細粒医療用,康和薬通,,,,20.90 ,,
内用薬,5200022D1033,帰脾湯エキス,１ｇ,,,,ツムラ帰脾湯エキス顆粒（医療用）,ツムラ,,,,20.30 ,,
内用薬,5200023C1024,きゅう帰膠艾湯エキス,１ｇ,,,,コタローきゅう帰膠艾湯エキス細粒,小太郎漢方製薬,,,,6.10 ,,
内用薬,5200023C1032,きゅう帰膠艾湯エキス,１ｇ,,,,ジュンコウきゅう帰膠艾湯ＦＣエキス細粒医療用,康和薬通,,,,9.20 ,,
内用薬,5200023D1020,きゅう帰膠艾湯エキス,１ｇ,,,,ツムラきゅう帰膠艾湯エキス顆粒（医療用）,ツムラ,,,,8.40 ,,
内用薬,5200024D1024,きゅう帰調血飲エキス,１ｇ,,,,太虎堂のきゅう帰調血飲エキス顆粒,太虎精堂製薬,,,,11.20 ,,
内用薬,5200025D1029,牛車腎気丸エキス,１ｇ,,,,ツムラ牛車腎気丸エキス顆粒（医療用）,ツムラ,,,,10.90 ,,
内用薬,5200026C1028,九味檳榔湯エキス,１ｇ,,,,コタロー九味檳榔湯エキス細粒,小太郎漢方製薬,,,,14.90 ,,
内用薬,5200027D1028,荊芥連翹湯エキス,１ｇ,,,,オースギ荊芥連翹湯エキスＧ,大杉製薬,,,,8.30 ,,
内用薬,5200027D1044,荊芥連翹湯エキス,１ｇ,,,,太虎堂の荊芥連翹湯エキス顆粒,太虎精堂製薬,,,,15.50 ,,
内用薬,5200027D1052,荊芥連翹湯エキス,１ｇ,,,,ツムラ荊芥連翹湯エキス顆粒（医療用）,ツムラ,,,,19.10 ,,
内用薬,5200027D1060,荊芥連翹湯エキス,１ｇ,,,,テイコク荊芥連翹湯エキス顆粒,帝國漢方製薬,,,,7.50 ,,
内用薬,5200028C1027,桂枝湯エキス,１ｇ,,,,コタロー桂枝湯エキス細粒,小太郎漢方製薬,,,,8.40 ,,
内用薬,5200028D1022,桂枝湯エキス,１ｇ,,,,オースギ桂枝湯エキスＧ,大杉製薬,,,,6.30 ,,
内用薬,5200028D1030,桂枝湯エキス,１ｇ,,,,ＪＰＳ桂枝湯エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,6.40 ,,
内用薬,5200028D1049,桂枝湯エキス,１ｇ,,,,ツムラ桂枝湯エキス顆粒（医療用）,ツムラ,,,,6.70 ,,
内用薬,5200028D1057,桂枝湯エキス,１ｇ,,,,テイコク桂枝湯エキス顆粒,帝國漢方製薬,,,,5.40 ,,
内用薬,5200028D1065,桂枝湯エキス,１ｇ,,,,本草桂枝湯エキス顆粒－Ｓ,本草製薬,,,,5.40 ,,
内用薬,5200028D1073,桂枝湯エキス,１ｇ,,,,マツウラ桂枝湯エキス顆粒,松浦薬業,,,,9.10 ,R3.3.31まで,
内用薬,5200029C1021,桂枝加黄耆湯エキス,１ｇ,,,,〔東洋〕桂枝加黄耆湯エキス細粒,東洋薬行,,,,10.80 ,,
内用薬,5200030C1024,桂枝加葛根湯エキス,１ｇ,,,,〔東洋〕桂枝加葛根湯エキス細粒,東洋薬行,,,,10.30 ,,
内用薬,5200031C1029,桂枝加厚朴杏仁湯エキス,１ｇ,,,,〔東洋〕桂枝加厚朴杏仁湯エキス細粒,東洋薬行,,,,8.90 ,,
内用薬,5200032C1031,桂枝加芍薬湯エキス,１ｇ,,,,コタロー桂枝加芍薬湯エキス細粒,小太郎漢方製薬,,,,6.50 ,,
内用薬,5200032C1040,桂枝加芍薬湯エキス,１ｇ,,,,ジュンコウ桂枝加芍薬湯ＦＣエキス細粒医療用,康和薬通,,,,7.70 ,,
内用薬,5200032C1058,桂枝加芍薬湯エキス,１ｇ,,,,〔東洋〕桂枝加芍薬湯エキス細粒,東洋薬行,,,,8.00 ,,
内用薬,5200032C1066,桂枝加芍薬湯エキス,１ｇ,,,,クラシエ桂枝加芍薬湯エキス細粒,クラシエ製薬,,,,8.70 ,,
内用薬,5200032D1029,桂枝加芍薬湯エキス,１ｇ,,,,オースギ桂枝加芍薬湯エキスＧ,大杉製薬,,,,6.30 ,,
内用薬,5200032D1045,桂枝加芍薬湯エキス,１ｇ,,,,ツムラ桂枝加芍薬湯エキス顆粒（医療用）,ツムラ,,,,7.70 ,,
内用薬,5200032D1053,桂枝加芍薬湯エキス,１ｇ,,,,テイコク桂枝加芍薬湯エキス顆粒,帝國漢方製薬,,,,6.30 ,,
内用薬,5200032D1061,桂枝加芍薬湯エキス,１ｇ,,,,本草桂枝加芍薬湯エキス顆粒－Ｍ,本草製薬,,,,5.00 ,,
内用薬,5200032F1046,桂枝加芍薬湯エキス,１錠,,,,クラシエ桂枝加芍薬湯エキス錠,大峰堂薬品工業,,,,3.40 ,,
内用薬,5200033D1023,桂枝加芍薬大黄湯エキス,１ｇ,,,,ツムラ桂枝加芍薬大黄湯エキス顆粒（医療用）,ツムラ,,,,8.80 ,,
内用薬,5200034C1022,桂枝加朮附湯エキス,１ｇ,,,,コタロー桂枝加朮附湯エキス細粒,小太郎漢方製薬,,,,6.60 ,,
内用薬,5200034C1030,桂枝加朮附湯エキス,１ｇ,,,,三和桂枝加朮附湯エキス細粒,三和生薬,,,,6.70 ,,
内用薬,5200034D1036,桂枝加朮附湯エキス,１ｇ,,,,ＪＰＳ桂枝加朮附湯エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,7.10 ,,
内用薬,5200034D1044,桂枝加朮附湯エキス,１ｇ,,,,ツムラ桂枝加朮附湯エキス顆粒（医療用）,ツムラ,,,,10.00 ,,
内用薬,5200034D1052,桂枝加朮附湯エキス,１ｇ,,,,テイコク桂枝加朮附湯エキス顆粒,帝國漢方製薬,,,,6.30 ,,
内用薬,5200034D1087,桂枝加朮附湯エキス,１ｇ,,,,マツウラ桂枝加朮附湯エキス顆粒,松浦薬業,,,,8.50 ,R3.3.31まで,
内用薬,5200035C1035,桂枝加竜骨牡蛎湯エキス,１ｇ,,,,コタロー桂枝加竜骨牡蛎湯エキス細粒,小太郎漢方製薬,,,,7.20 ,,
内用薬,5200035C1043,桂枝加竜骨牡蛎湯エキス,１ｇ,,,,クラシエ桂枝加竜骨牡蛎湯エキス細粒,クラシエ製薬,,,,8.10 ,,
内用薬,5200035D1022,桂枝加竜骨牡蛎湯エキス,１ｇ,,,,オースギ桂枝加竜骨牡蛎湯エキスＧ,大杉製薬,,,,6.50 ,,
内用薬,5200035D1030,桂枝加竜骨牡蛎湯エキス,１ｇ,,,,ツムラ桂枝加竜骨牡蛎湯エキス顆粒（医療用）,ツムラ,,,,8.50 ,,
内用薬,5200035D1049,桂枝加竜骨牡蛎湯エキス,１ｇ,,,,テイコク桂枝加竜骨牡蛎湯エキス顆粒,帝國漢方製薬,,,,5.90 ,,
