院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	「純生」アスピリン	Aspirin	小堺製薬	日興製薬販売	末：内服	10g	2.94円／g	局	サリチル酸系解熱鎮痛・抗血小板剤	114	アスピリン	aspirin（JP）	1143001X1074	100727533					
	0.5％塩酸プロカイン注射液「トーワ」	Procaine Hydrochloride“TOWA”	東和薬品		注射液：注射	0.5％1mL1管	92.00円／管	局劇処	安息香酸エステル系局所麻酔剤	121	プロカイン塩酸塩	procaine hydrochloride（JP）	1211401A1025	101639002					pH調整剤，塩酸
	0.5％塩酸プロカイン注射液「トーワ」	Procaine Hydrochloride“TOWA”	東和薬品		注射液：注射	0.5％2mL1管	92.00円／管	局劇処	安息香酸エステル系局所麻酔剤	121	プロカイン塩酸塩	procaine hydrochloride（JP）	1211401A2021	101640601					pH調整剤，塩酸
	0.5％塩酸メピバカイン注「NM」	Mepivacaine HCl「NM」	ナガセ医薬品	ファイザー	注射液：注射	0.5％10mLバイアル	9.70円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A1030	101667306，101667307					パラオキシ安息香酸メチル，塩化ナトリウム，リン酸水素ナトリウム水和物，pH調節剤
	0.5％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	0.5％5mL1管	78.00円／管	劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A1020	115637901，115637902	薬価収載2003.07.04				等張化剤，pH調整剤
	0.5％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	0.5％10mL1管	84.00円／管	劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A2026	115638601，115638602	薬価収載2003.07.04				等張化剤，pH調整剤
	0.5％カルボカイン注	Carbocain	アストラゼネカ		注射液：注射	0.5％10mLバイアル	10.90円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A1021	101667304					メチルパラベン，塩化ナトリウム，pH調整剤
	1％塩酸プロカイン注射液「ニッシン」	Procaine Hydrochloride	日新製薬－山形		注射液：注射	1％5mL1管	92.00円／管	局劇処	安息香酸エステル系局所麻酔剤	121	プロカイン塩酸塩	procaine hydrochloride（JP）	1211401A6027	101644406，101644408					pH調整剤
	1％塩酸メピバカイン注「NM」	Mepivacaine HCl「NM」	ナガセ医薬品	ファイザー	注射液：注射	1％10mLバイアル	10.30円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A2036	101668006，101668007					パラオキシ安息香酸メチル，塩化ナトリウム，リン酸水素ナトリウム水和物，pH調節剤
	1％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	1％5mL1管	78.00円／管	劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A3022	115652201，115652202	薬価収載2003.07.04				等張化剤，pH調整剤
	1％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	1％10mL1管	84.00円／管	劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A4029	115653901，115653902	薬価収載2003.07.04				等張化剤，pH調整剤
	1％カルボカイン注	Carbocain	アストラゼネカ		注射液：注射	1％10mLバイアル	11.30円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A2028	101668004					メチルパラベン，塩化ナトリウム，pH調整剤
	1％ディプリバン注	Diprivan	アストラゼネカ		注射液：注射	200mg20mL1管	1,171.00円／管	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A1022	100317802	薬価収載1995.11.24				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注	Diprivan	アストラゼネカ		注射液：注射	500mg50mL1瓶	1,712.00円／瓶	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A2029	100318502	薬価収載1995.11.24				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注	Diprivan	アストラゼネカ		注射液：注射	1g100mL1瓶	1,781.00円／瓶	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A3033	118346701	薬価収載2008.07.04				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注	Diprivan	アストラゼネカ		注射液：注射	200mg20mL1瓶	1,171.00円／瓶	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A4056	122553201	薬価収載2013.06.21				
	1％ディプリバン注－キット	Diprivan	アストラゼネカ		キット：注射	200mg20mL1筒	1,356.00円／筒	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402G1025	113892401	薬価収載2001.06.08				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注－キット	Diprivan	アストラゼネカ		キット：注射	500mg50mL1筒	1,920.00円／筒	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402G2021	113893101	薬価収載2001.06.08				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	200mg20mL1管	734.00円／管	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A1030	115357601	薬価収載2003.07.04				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	1％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	500mg50mL1瓶	1,016.00円／瓶	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A2037	115358301	薬価収載2003.07.04				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	1％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	1g100mL1瓶	1,540.00円／瓶	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A3025	115359001	薬価収載2003.07.04				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	2％塩酸プロカイン注射液「ニッシン」	Procaine Hydrochloride	日新製薬－山形		注射液：注射	2％2mL1管	93.00円／管	局劇処	安息香酸エステル系局所麻酔剤	121	プロカイン塩酸塩	procaine hydrochloride（JP）	1211401A9026	101647506，101647509					pH調整剤
	2％塩酸メピバカイン注「NM」	Mepivacaine HCl「NM」	ナガセ医薬品	ファイザー	注射液：注射	2％10mLバイアル	15.90円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A3032	101669706，101669707					パラオキシ安息香酸メチル，塩化ナトリウム，リン酸水素ナトリウム水和物，pH調節剤
	2％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	2％5mL1管	82.00円／管	劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A5025	115620101，115620102	薬価収載2003.07.04				等張化剤，pH調整剤
	2％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	2％10mL1管	118.00円／管	劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A6021	115621801，115621802	薬価収載2003.07.04				等張化剤，pH調整剤
