診療年月：H30年04月～H31年03月　内服薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
type_code,type_name,code,name,measure,shusai_code,price,generic,total,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
112,催眠鎮静剤，抗不安剤,621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,錠,1124009F2076,9.9,1,65995718.82,-,-,9080.5,39957.5,141450.5,294829.05,481173.5,692694.75,1071783.25,1390737.25,1522379.4,1690954.5,1926949.05,3082718.75,3914453.95,4422550.2,3649695,2289622.25,846301.75,134919.5,10359,-,-,9562.5,66542,250707,462306.75,621993.5,867034,1211420.5,1471636,1606958,1787935.65,2092972.45,3475856.15,4618406.95,5736191.65,5765120.5,4889097.85,2611696.52,731847.95,105286
112,催眠鎮静剤，抗不安剤,620004625,レンドルミン錠０．２５ｍｇ,錠,1124009F1223,22.5,0,64093967.03,-,1109,9232,38481.25,98016.5,233627,423431,640931.5,983153.5,1342770.5,1386175.4,1397943,1346536.2,1875048,2610292.24,3478136.5,3194403.5,1994236.875,685793.75,96496,11079,-,-,10806,56540.75,173991.5,346825,612552.5,923626.25,1422465.75,1896727.5,1892906.6,1957186.96,2168662.6,3538646.45,5087404.65,7201396.5,7258826.75,5127154.55,2075170.75,444359.5,50927.5
112,催眠鎮静剤，抗不安剤,622148901,ルネスタ錠２ｍｇ,錠,1129010F2024,77.5,0,63354204.03,-,-,11299.932,87014,296353,559702.5,800966,1011676,1436517.7,1710800,1734282.5,1712751.5,1749697.5,2525320.8,3068613,3545547.5,2951180.5,1934618.75,699067.5,111699.5,9932,-,-,15654,154847.75,494539.75,796520.25,960345.5,1159506.5,1540019,1805924,1850637.75,1945907.5,2128020.6,3303995.75,4204556.25,5253890,5237173.5,4108425,1918636.75,463724,54291
112,催眠鎮静剤，抗不安剤,611170470,ワイパックス錠０．５　０．５ｍｇ,錠,1124022F1067,5.8,0,59016464.27,-,1384.5,22838.5,139436.5,317094.5,625958.4,1009148.75,1521419.75,2054636.75,2452034.5,2092735.25,1697069.85,1294093,1298339.5,1335152.75,1251561.4,1004181,597992,184017.5,26945.5,1537.5,-,1357.5,28321.5,212800.75,467781.5,968263,1640261.3,2418861.45,3392010.6,3790842.8,3291959.695,2888417.875,2688374.72,3423489.2,3763761.25,4062706.4,3578429.28,2335174.25,933370.3,185706.5,16982
112,催眠鎮静剤，抗不安剤,620038802,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,錠,1124009F1398,9.9,1,56654115.06,-,-,10734.75,63848.5,256598.5,528901.75,832847.5,1218646.5,1819896.75,2248286.5,2265784.55,1973450.25,1700923,2118156.75,2414720.75,2571200,2068853.45,1222834.25,421015.75,66057,5937,-,-,8760.5,124564.75,406633.5,739228.225,1027853.15,1369522.75,1867449,2231533.75,2150883.015,2080334.25,2089536.25,2881321.55,3574727.72,3980496.82,3735628.7,2824644.5,1340418.625,363072,47518
112,催眠鎮静剤，抗不安剤,620006836,アルプラゾラム錠０．４ｍｇ「トーワ」,錠,1124023F1100,5.6,1,49130921.14,-,-,7508,74716.25,272716.5,585100.25,1013780.5,1488003.5,2104600.75,2471401.5,2286548.9,1899434.5,1496229.5,1463378,1299873.15,1086605,865282.25,480728.5,156649.25,22316.25,2941,-,-,13202,163893.5,577495,1032928.75,1470043,2013075.75,2663105.25,2951141.05,2468133,2183846.25,2025144,2483088.25,2628348.75,2418899.5,2236263.78,1682947.507,821392.25,198327.75,20715
112,催眠鎮静剤，抗不安剤,610463174,フルニトラゼパム錠２ｍｇ「アメル」,錠,1124008F2047,5.8,1,46838975.15,-,-,4112.75,38305,249629.6,650552.5,1255676.5,1973027.5,2925243,3612812,3261743,2692437.5,1953223.95,1763320.55,1248045.55,872944.75,536875,228918.15,66490,7623,-,-,-,2649,79912,454678.3,1050906.25,1458180,1934882.5,2752295,3249414.25,2809471,2368275.25,1902546,1789350.25,1435491,1050859.3,661204,349215.5,120423.75,23538.5,3425
112,催眠鎮静剤，抗不安剤,611170689,メイラックス錠１ｍｇ,錠,1124029F1026,16.8,0,46350649.11,-,2633.2,18375.9,102637.95,213730.93,433813.61,726827.95,1109202.975,1498005.6,1820343.5,1650801.86,1388597.53,1131460.8,1244310.75,1198320.1,1257651.23,922014.77,470180.06,117019,14057.5,-,-,3521.57,30038.25,141867.4,338770.73,630540.346,1016926.375,1664702.61,2416482.32,2774574,2555804.11,2318510.7,2228255.55,2970719.815,3434761.865,3524522.2,2764769.97,1611338.73,513147.4,84154.15,6648
112,催眠鎮静剤，抗不安剤,611170005,２ｍｇセルシン錠,錠,1124017F2135,5.9,0,44457374.36,1482.35,10794.75,41928.55,76352.25,137966,260477.25,420913,623572.5,999837.5,1272467.5,1390303,1382090,1247029.25,1638340.5,1691343,1760932.25,1537101.75,940488.5,328972.5,53161.25,2074,2758.5,8676.5,38827.75,97927.75,197481.5,321104.5,543829.75,852848.75,1281892,1680614,1721209,1729453.2,1772668.75,2573124.25,3198497.75,3949166,4033932.625,2965738.35,1340200,299538.78,30257
112,催眠鎮静剤，抗不安剤,611170435,レキソタン錠２　２ｍｇ,錠,1124020F2030,5.8,0,43057193.75,-,4198.5,12776.75,76401.5,225301,543175,987540,1624799.5,2471830.5,2790500.7,2384039.5,2056516.5,1446540.5,1296168,998432,785352.05,482082.75,192281.5,51865,4393,-,-,-,17627,121142.75,344463.25,761261.75,1276819.5,1880465,2692016.85,3150223.5,2764134.6,2210823.2,1784040,1999533,1990291.6,1588235.45,1179345.35,623637.25,196045.45,37278,3691
