区分,薬価基準収載医薬品コード,成分名,規格,品名,,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,,,,,
外用薬,1319720Q3183,ヒアルロン酸ナトリウム,０．１％５ｍＬ１瓶,,,,ヒアルロン酸ナトリウム点眼液０．１％「トーワ」,東和薬品,後発品,,,184.70,,,,,,,
外用薬,1319720Q3191,ヒアルロン酸ナトリウム,０．１％５ｍＬ１瓶,,,,ヒアルロン酸Ｎａ点眼液０．１％「杏林」,キョーリンリメディオ,後発品,,,184.70,,H27.12.11収載,,,,,
外用薬,1319720Q4031,ヒアルロン酸ナトリウム,０．１％０．４ｍＬ１個,,,,ヒアレインミニ点眼液０．１％,参天製薬,,先発品,,15.70,,,,,,,
外用薬,1319720Q5038,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアレインミニ点眼液０．３％,参天製薬,,先発品,○,22.50,,,,,,,
外用薬,1319720Q5046,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,アイケアミニ点眼液０．３％,科研製薬,後発品,,,16.50,,,,,,,
外用薬,1319720Q5054,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアールミニ点眼液０．３％,キョーリンリメディオ,後発品,,,10.30,,,,,,,
外用薬,1319720Q5062,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアルロン酸Ｎａミニ点眼液０．３％「日新」,日新製薬（山形）,後発品,,,10.30,,,,,,,
外用薬,1319720Q5070,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアロンサンミニ点眼液０．３％,東亜薬品,後発品,,,16.50,,,,,,,
外用薬,1319720Q5089,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアルロン酸ナトリウムミニ点眼液０．３％「ニッテン」,ニッテン,後発品,,,10.30,,,,,,,
外用薬,1319720Q5097,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアルロン酸ナトリウムミニ点眼液０．３％「日点」,日本点眼薬研究所,後発品,,,10.30,,,,,,,
外用薬,1319720Q5100,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ティアバランスミニムス点眼液０．３％,千寿製薬,後発品,,,16.50,,,,,,,
外用薬,1319720Q5119,ヒアルロン酸ナトリウム,０．３％０．４ｍＬ１個,,,,ヒアルロン酸Ｎａミニ点眼液０．３％「わかもと」,わかもと製薬,後発品,,,10.30,,,,,,,
外用薬,1319720Q6077,ヒアルロン酸ナトリウム,１％０．７ｍＬ１筒,,,,オペガンハイ０．７眼粘弾剤１％,生化学工業,後発品,,,"7,090.00",,,,,,,
外用薬,1319720Q6085,ヒアルロン酸ナトリウム,１％０．７ｍＬ１筒,,,,プロビスク０．７眼粘弾剤１％,日本アルコン,後発品,,,"3,217.90",,,,,,,
外用薬,1319720Q7111,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,オペガン０．６眼粘弾剤１％,生化学工業,,先発品,○,"7,259.50",,,,,,,
外用薬,1319720Q7120,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,オペリード０．６眼粘弾剤１％,資生堂,後発品,,,"6,235.20",,,,,,,
外用薬,1319720Q7146,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,ヒーロン０．６眼粘弾剤１％,エイエムオー・ジャパン,,先発品,○,"5,996.10",,,,,,,
外用薬,1319720Q7154,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,オペガンハイ０．６眼粘弾剤１％,生化学工業,後発品,,,"6,235.20",,,,,,,
外用薬,1319720Q7162,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,オペリードＨＶ０．６眼粘弾剤１％,資生堂,後発品,,,"6,235.20",,,,,,,
外用薬,1319720Q7170,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,ヒアガード０．６眼粘弾剤１％,日本点眼薬研究所,後発品,,,"3,250.10",,,,,,,
外用薬,1319720Q7189,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,ヒアルロン酸Ｎａ０．６眼粘弾剤１％「コーワ」,興和,後発品,,,"3,250.10",,,,,,,
外用薬,1319720Q7197,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,ピオネス０．６眼粘弾剤１％,テバ製薬,後発品,,,"3,250.10",H28.3.31まで,,,,,,
外用薬,1319720Q7200,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,プロビスク０．６眼粘弾剤１％,日本アルコン,後発品,,,"3,250.10",,,,,,,
外用薬,1319720Q7219,ヒアルロン酸ナトリウム,１％０．６ｍＬ１筒,,,,ヒアルロン酸Ｎａ０．６眼粘弾剤１％「テバ」,テバ製薬,後発品,,,"3,250.10",,H27.6.19収載,,,,,
外用薬,1319720Q8134,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,オペガンハイ０．８５眼粘弾剤１％,生化学工業,★,,,"7,090.00",,,,,,,
外用薬,1319720Q8142,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,オペリードＨＶ０．８５眼粘弾剤１％,資生堂,★,,,"7,090.00",,,,,,,
外用薬,1319720Q8150,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,ピオネス０．８５眼粘弾剤１％,テバ製薬,後発品,,,"3,307.00",H28.3.31まで,,,,,,
外用薬,1319720Q8169,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,ヒアガード０．８５眼粘弾剤１％,日本点眼薬研究所,後発品,,,"3,307.00",,,,,,,
外用薬,1319720Q8177,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,プロビスク０．８５眼粘弾剤１％,日本アルコン,後発品,,,"3,307.00",,,,,,,
外用薬,1319720Q8185,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,ヒーロン０．８５眼粘弾剤１％,エイエムオー・ジャパン,,先発品,○,"6,534.10",,,,,,,
外用薬,1319720Q8193,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,ヒアルロン酸Ｎａ０．８５眼粘弾剤１％「コーワ」,興和,後発品,,,"3,307.00",,,,,,,
外用薬,1319720Q8207,ヒアルロン酸ナトリウム,１％０．８５ｍＬ１筒,,,,ヒアルロン酸Ｎａ０．８５眼粘弾剤１％「テバ」,テバ製薬,後発品,,,"3,307.00",,H27.6.19収載,,,,,
外用薬,1319720Q9041,ヒアルロン酸ナトリウム,１％１．１ｍＬ１筒,,,,オペガン１．１眼粘弾剤１％,生化学工業,,先発品,○,"8,142.50",,,,,,,
外用薬,1319720Q9050,ヒアルロン酸ナトリウム,１％１．１ｍＬ１筒,,,,オペリード１．１眼粘弾剤１％,資生堂,後発品,,,"7,090.00",,,,,,,
外用薬,1319720Y1032,ヒアルロン酸ナトリウム,２．３％０．６ｍＬ１筒,,,,ヒーロンＶ０．６眼粘弾剤２．３％,エイエムオー・ジャパン,,先発品,,"10,001.90",,,,,,,
外用薬,1319720Y2020,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ヒアレイン点眼液０．３％,参天製薬,,先発品,○,617.90,,,,,,,
外用薬,1319720Y2039,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ヒアルロン酸Ｎａ点眼液０．３％「ファイザー」,ファイザー,後発品,,,259.80,,,,,,,
外用薬,1319720Y2055,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ヒアルロン酸ナトリウム点眼液０．３％「ＴＳ」,テイカ製薬,後発品,,,259.80,,,,,,,
外用薬,1319720Y2063,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,アイケア点眼液０．３％,科研製薬,後発品,,,419.80,,,,,,,
外用薬,1319720Y2071,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ヒアルロン酸ナトリウム点眼液０．３％「トーワ」,東和薬品,後発品,,,259.80,,,,,,,
外用薬,1319720Y2080,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ティアバランス点眼液０．３％,千寿製薬,後発品,,,419.80,,,,,,,
外用薬,1319720Y2098,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ヒアロンサン点眼液０．３％,東亜薬品,後発品,,,419.80,,,,,,,
外用薬,1319720Y2101,ヒアルロン酸ナトリウム,０．３％５ｍＬ１瓶,,,,ヒアルロン酸Ｎａ点眼液０．３％「杏林」,キョーリンリメディオ,後発品,,,259.80,,H27.12.11収載,,,,,
外用薬,1319721Q1037,インドメタシン,０．５％１ｍＬ,,,,インドメロール点眼液０．５％,千寿製薬,,先発品,,136.80,H28.3.31まで,,,,,,
外用薬,1319722M1048,オフロキサシン,０．３％１ｇ,,,,オフロキシン眼軟膏０．３％,東亜薬品,後発品,,,78.00,,,,,,,
外用薬,1319722M1056,オフロキサシン,０．３％１ｇ,,,,タリビッド眼軟膏０．３％,参天製薬,,先発品,○,119.70,,,,,,,
外用薬,1319722Q1015,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン０．３％１ｍＬ点眼液,,後発品,,,33.50,,,,,,,
外用薬,1319722Q1031,オフロキサシン,０．３％１ｍＬ,,,,オーハラキシン点眼液０．３％,大原薬品工業,後発品,,,48.90,H28.3.31まで,,,,,,
外用薬,1319722Q1040,オフロキサシン,０．３％１ｍＬ,,,,キサトロン点眼液０．３％,昭和薬品化工,後発品,,,48.90,H28.3.31まで,,,,,,
外用薬,1319722Q1058,オフロキサシン,０．３％１ｍＬ,,,,オプール点眼液０．３％,沢井製薬,後発品,,,48.90,H27.9.30まで,,,,,,
外用薬,1319722Q1066,オフロキサシン,０．３％１ｍＬ,,,,オルカビット点眼液０．３％,シオノケミカル,後発品,,,48.90,H28.3.31まで,,,,,,
外用薬,1319722Q1074,オフロキサシン,０．３％１ｍＬ,,,,タリフロン点眼液０．３％,東和薬品,後発品,,,48.90,,,,,,,
外用薬,1319722Q1090,オフロキサシン,０．３％１ｍＬ,,,,オフロキシン点眼液０．３％,東亜薬品,後発品,,,65.70,,,,,,,
外用薬,1319722Q1112,オフロキサシン,０．３％１ｍＬ,,,,オフロキサット点眼液０．３％,日医工,後発品,,,48.90,H26.9.30まで,,,,,,
外用薬,1319722Q1120,オフロキサシン,０．３％１ｍＬ,,,,タリキサシン点眼液０．３％,日新製薬（山形）,後発品,,,48.90,H26.9.30まで,,,,,,
外用薬,1319722Q1147,オフロキサシン,０．３％１ｍＬ,,,,マロメール点眼液０．３％,大興製薬,後発品,,,48.90,,,,,,,
外用薬,1319722Q1155,オフロキサシン,０．３％１ｍＬ,,,,オフテクター点眼液０．３％,富士薬品,後発品,,,65.70,,,,,,,
外用薬,1319722Q1163,オフロキサシン,０．３％１ｍＬ,,,,タリビッド点眼液０．３％,参天製薬,,先発品,○,111.50,,,,,,,
外用薬,1319722Q1171,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「ＣＨＯＳ」,シー・エイチ・オー新薬,後発品,,,48.90,,,,,,,
外用薬,1319722Q1180,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「タナベ」,長生堂製薬,後発品,,,48.90,H26.9.30まで,,,,,,
外用薬,1319722Q1198,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「テバ」,大正薬品工業,後発品,,,48.90,,,,,,,
外用薬,1319722Q1201,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「ＪＧ」,長生堂製薬,後発品,,,48.90,,,,,,,
外用薬,1319722Q1210,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「日医工」,日医工,後発品,,,48.90,,,,,,,
外用薬,1319722Q1228,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「日新」,日新製薬（山形）,後発品,,,48.90,,,,,,,
外用薬,1319722Q1236,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「サワイ」,沢井製薬,後発品,,,48.90,,H26.12.12収載,,,,,
外用薬,1319722Q1244,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシン点眼液０．３％「ＳＮ」,シオノケミカル,後発品,,,48.90,,H27.6.19収載,,,,,
外用薬,1319722Q2020,オフロキサシン,０．３％１ｍＬ,,,,オフロキサシンゲル化点眼液０．３％「わかもと」,わかもと製薬,後発品,,,65.70,,,,,,,
外用薬,1319723Q1010,イドクスウリジン,０．１％１ｍＬ,局,,,イドクスウリジン点眼液,,,,,100.80,,,,,,,
外用薬,1319724Q1103,プラノプロフェン,０．１％１ｍＬ,,,,プラノプロフェン点眼液０．１％「わかもと」,わかもと製薬,後発品,,,22.60,,,,,,,
外用薬,1319724Q1120,プラノプロフェン,０．１％１ｍＬ,,,,ニフラン点眼液０．１％,千寿製薬,,先発品,○,47.10,,,,,,,
外用薬,1319724Q1138,プラノプロフェン,０．１％１ｍＬ,,,,ハオプラ点眼液０．１％,日本点眼薬研究所,後発品,,,29.30,,,,,,,
外用薬,1319724Q1146,プラノプロフェン,０．１％１ｍＬ,,,,ムルキナ点眼液０．１％,日東メディック,後発品,,,29.30,,,,,,,
外用薬,1319724Q1154,プラノプロフェン,０．１％１ｍＬ,,,,プロラノン点眼液０．１％,参天製薬,後発品,,,29.30,,,,,,,
外用薬,1319724Q1162,プラノプロフェン,０．１％１ｍＬ,,,,バルライザー点眼液０．１％,日新製薬（山形）,後発品,,,22.60,H27.9.30まで,,,,,,
外用薬,1319724Q1170,プラノプロフェン,０．１％１ｍＬ,,,,プラノプロフェン点眼液０．１％「日新」,日新製薬（山形）,後発品,,,22.60,,H26.12.12収載,,,,,
外用薬,1319725Q1035,アンレキサノクス,１２．５ｍｇ５ｍＬ１瓶,,,,エリックス点眼液０．２５％,千寿製薬,,先発品,,841.00,,,,,,,
外用薬,1319726Q1099,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロスターＰＦ点眼液０．１％,日本点眼薬研究所,後発品,,,49.00,,,,,,,
外用薬,1319726Q1102,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロード点眼液０．１％,わかもと製薬,,先発品,○,86.70,,,,,,,
外用薬,1319726Q1110,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロスター点眼液０．１％,ニッテン,後発品,,,41.10,,,,,,,
外用薬,1319726Q1129,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロフェナック点眼液０．１％,東亜薬品,後発品,,,49.00,,,,,,,
外用薬,1319726Q1137,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ベギータ点眼液０．１％,シオノケミカル,後発品,,,41.10,H27.9.30まで,,,,,,
外用薬,1319726Q1145,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,スタフルミン点眼液０．１％,昭和薬品化工,後発品,,,49.00,H27.9.30まで,,,,,,
外用薬,1319726Q1153,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ボナフェック点眼液０．１％,日新製薬（山形）,後発品,,,41.10,H28.3.31まで,,,,,,
外用薬,1319726Q1161,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロフェナクＮａ点眼液０．１％「ＳＮ」,シオノケミカル,後発品,,,41.10,,H26.12.12収載,,,,,
外用薬,1319726Q1170,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロフェナクＮａ点眼液０．１％「ショーワ」,昭和薬品化工,後発品,,,49.00,H28.3.31まで,H26.12.12収載,,,,,
外用薬,1319726Q1188,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロフェナクＮａ点眼液０．１％「日新」,日新製薬（山形）,後発品,,,41.10,,H27.6.19収載,,,,,
外用薬,1319726Q1196,ジクロフェナクナトリウム,０．１％１ｍＬ,,,,ジクロフェナクＮａ点眼液０．１％「あゆみ」,あゆみ製薬,後発品,,,49.00,,H27.12.11収載,,,,,
外用薬,1319727Q1131,ノルフロキサシン,０．３％１ｍＬ,,,,フロバール点眼液０．３％,マイラン製薬,後発品,,,68.40,H28.3.31まで,,,,,,
外用薬,1319727Q1140,ノルフロキサシン,０．３％１ｍＬ,,,,ノキサシン点眼液０．３％,わかもと製薬,後発品,,,68.40,,,,,,,
外用薬,1319727Q1158,ノルフロキサシン,０．３％１ｍＬ,,,,ノフロ点眼液０．３％,日医工,,先発品,○,114.00,,,,,,,
外用薬,1319727Q1166,ノルフロキサシン,０．３％１ｍＬ,,,,ミタトニン点眼液０．３％,キョーリンリメディオ,後発品,,,68.40,,,,,,,
外用薬,1319727Q1174,ノルフロキサシン,０．３％１ｍＬ,,,,バクシダール点眼液０．３％,杏林製薬,,先発品,○,114.00,,,,,,,
外用薬,1319727Q1182,ノルフロキサシン,０．３％１ｍＬ,,,,ノフロキサン点眼液０．３％,日医工ファーマ,後発品,,,42.30,H27.3.31まで,,,,,,
外用薬,1319727Q1190,ノルフロキサシン,０．３％１ｍＬ,,,,バクファミル点眼液０．３％,日新製薬（山形）,後発品,,,42.30,H28.3.31まで,,,,,,
外用薬,1319727Q1204,ノルフロキサシン,０．３％１ｍＬ,,,,ビスコレット点眼液０．３％,富士薬品,後発品,,,42.30,,,,,,,
外用薬,1319727Q1212,ノルフロキサシン,０．３％１ｍＬ,,,,マリオットン点眼液０．３％,鶴原製薬,後発品,,,42.30,,,,,,,
外用薬,1319727Q1220,ノルフロキサシン,０．３％１ｍＬ,,,,ノルフロキサシン点眼液０．３％「ＮｉｋＰ」,日医工ファーマ,後発品,,,42.30,,H26.6.20収載,,,,,
外用薬,1319727Q1239,ノルフロキサシン,０．３％１ｍＬ,,,,ノルフロキサシン点眼液０．３％「日新」,日新製薬（山形）,後発品,,,42.30,,H27.6.19収載,,,,,
外用薬,1319730Q1010,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトチフェンフマル酸塩３．４５ｍｇ５ｍＬ点眼液,,後発品,,,181.60,,,,,,,
外用薬,1319730Q1214,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,フサコール点眼液０．０５％,メディサ新薬,後発品,,,404.80,,,,,,,
外用薬,1319730Q1222,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトチフェンＰＦ点眼液０．０５％「日点」,日本点眼薬研究所,後発品,,,404.80,,,,,,,
外用薬,1319730Q1230,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトチフェン点眼液０．０５％「ＴＯＡ」,東亜薬品,後発品,,,267.00,,,,,,,
外用薬,1319730Q1249,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ザジテン点眼液０．０５％,日本アルコン,,先発品,○,720.20,,,,,,,
外用薬,1319730Q1257,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,フマルトン点眼液０．０５％,ニッテン,後発品,,,404.80,,,,,,,
外用薬,1319730Q1265,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,フマルフェン点眼液０．０５％,日医工,後発品,,,267.00,H26.9.30まで,,,,,,
外用薬,1319730Q1281,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトテン点眼液０．０５％,沢井製薬,後発品,,,267.00,H26.9.30まで,,,,,,
外用薬,1319730Q1311,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトチフェン点眼液０．０５％「ＣＨ」,長生堂製薬,後発品,,,267.00,,,,,,,
外用薬,1319730Q1338,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトチフェン点眼液０．０５％「ＳＷ」,沢井製薬,後発品,,,267.00,,,,,,,
外用薬,1319730Q1346,ケトチフェンフマル酸塩,３．４５ｍｇ５ｍＬ１瓶,,,,ケトチフェン点眼液０．０５％「日医工」,日医工,後発品,,,267.00,,,,,,,
外用薬,1319730Q2024,ケトチフェンフマル酸塩,０．２７６ｍｇ０．４ｍＬ１個,,,,ザジテン点眼液ＵＤ０．０５％,日本アルコン,,先発品,,29.10,H28.3.31まで,,,,,,
外用薬,1319731Q1030,オキシグルタチオン,０．４６％１０ｍＬ１瓶（希釈液付）,,,,ビーエスエスプラス２５０眼灌流液０．０１８４％,日本アルコン,,先発品,,"4,049.60",H28.3.31まで,,,,,,
外用薬,1319731Q2045,オキシグルタチオン,０．４６％２０ｍＬ１瓶（希釈液付）,,,,ビーエスエスプラス５００眼灌流液０．０１８４％,日本アルコン,,先発品,,"4,049.60",,,,,,,
外用薬,1319731Q4030,オキシグルタチオン,５００ｍＬ１キット,,,,オペガードネオキット眼灌流液０．０１８４％,千寿製薬,後発品,,,"4,294.90",,,,,,,
外用薬,1319732Q1035,イソプロピルウノプロストン,０．１２％１ｍＬ,,,,レスキュラ点眼液０．１２％,アールテック・ウエノ,,先発品,○,369.90,,,,,,,
外用薬,1319732Q1043,イソプロピルウノプロストン,０．１２％１ｍＬ,,,,イソプロピルウノプロストン点眼液０．１２％「ＴＳ」,テイカ製薬,後発品,,,237.90,,,,,,,
外用薬,1319732Q1051,イソプロピルウノプロストン,０．１２％１ｍＬ,,,,イソプロピルウノプロストン点眼液０．１２％「サワイ」,沢井製薬,後発品,,,237.90,,,,,,,
外用薬,1319732Q1060,イソプロピルウノプロストン,０．１２％１ｍＬ,,,,イソプロピルウノプロストン点眼液０．１２％「タイヨー」,テバ製薬,後発品,,,237.90,,,,,,,
外用薬,1319732Q1078,イソプロピルウノプロストン,０．１２％１ｍＬ,,,,イソプロピルウノプロストンＰＦ点眼液０．１２％「日点」,日本点眼薬研究所,後発品,,,237.90,,,,,,,
外用薬,1319732Q1086,イソプロピルウノプロストン,０．１２％１ｍＬ,,,,イソプロピルウノプロストン点眼液０．１２％「ニッテン」,ニッテン,後発品,,,237.90,,,,,,,
外用薬,1319733Q1048,ベタキソロール塩酸塩,０．５％１ｍＬ,,,,ベタキール０．５％点眼液,沢井製薬,後発品,,,236.20,H27.9.30まで,,,,,,
外用薬,1319733Q1064,ベタキソロール塩酸塩,０．５％１ｍＬ,,,,ベトプティック　エス懸濁性点眼液０．５％,日本アルコン,,先発品,○,376.30,,,,,,,
外用薬,1319733Q1072,ベタキソロール塩酸塩,０．５％１ｍＬ,,,,ベトプティック点眼液０．５％,日本アルコン,,先発品,○,376.30,,,,,,,
外用薬,1319733Q1080,ベタキソロール塩酸塩,０．５％１ｍＬ,,,,ベタキソン点眼液０．５％,日本点眼薬研究所,後発品,,,236.20,,,,,,,
外用薬,1319733Q1099,ベタキソロール塩酸塩,０．５％１ｍＬ,,,,ベタキソロール点眼液０．５％「ＳＷ」,沢井製薬,後発品,,,236.20,,H26.12.12収載,,,,,
外用薬,1319734Q1042,塩酸ロメフロキサシン,０．３％１ｍＬ,,,,ロメフロン点眼液０．３％,千寿製薬,,先発品,,123.70,,,,,,,
外用薬,1319734Q2030,塩酸ロメフロキサシン,０．３％０．５ｍＬ１個,,,,ロメフロンミニムス眼科耳科用液０．３％,千寿製薬,,先発品,,38.90,,,,,,,
外用薬,1319735Q1047,ペミロラストカリウム,５ｍｇ５ｍＬ１瓶,局,,,アラジオフ点眼液０．１％,キョーリンリメディオ,後発品,,,478.10,,,,,,,
外用薬,1319735Q1055,ペミロラストカリウム,５ｍｇ５ｍＬ１瓶,局,,,ペミリドン点眼液０．１％,テイカ製薬,後発品,,,395.50,,,,,,,
外用薬,1319735Q1063,ペミロラストカリウム,５ｍｇ５ｍＬ１瓶,局,,,ペミラストン点眼液０．１％,アルフレッサファーマ,,先発品,○,598.20,,,,,,,
外用薬,1319735Q1071,ペミロラストカリウム,５ｍｇ５ｍＬ１瓶,局,,,アレギサール点眼液０．１％,参天製薬,,先発品,○,787.40,,,,,,,
外用薬,1319736Q1041,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,アレニスト点眼液０．５％,東亜薬品,後発品,,,539.70,,,,,,,
外用薬,1319736Q1050,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,ガレシロール点眼液０．５％,シオノケミカル,後発品,,,539.70,H27.9.30まで,,,,,,
外用薬,1319736Q1068,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラメラスＰＦ点眼液０．５％,日本点眼薬研究所,,先発品,○,645.40,,,,,,,
外用薬,1319736Q1076,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,リザベン点眼液０．５％,キッセイ薬品工業,,先発品,○,687.30,,,,,,,
外用薬,1319736Q1084,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラメラス点眼液０．５％,ニッテン,,先発品,○,575.60,,,,,,,
外用薬,1319736Q1092,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラニラスト点眼液０．５％「ＴＳ」,テイカ製薬,後発品,,,539.70,,,,,,,
外用薬,1319736Q1106,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラニラスト点眼液０．５％「サワイ」,沢井製薬,後発品,,,539.70,,,,,,,
外用薬,1319736Q1114,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラニラスト点眼液０．５％「ＪＧ」,日本ジェネリック,後発品,,,539.70,,,,,,,
外用薬,1319736Q1122,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラニラスト点眼液０．５％「ＦＦＰ」,富士フイルムファーマ,後発品,,,539.70,,,,,,,
外用薬,1319736Q1130,トラニラスト,２５ｍｇ５ｍＬ１瓶,局,,,トラニラスト点眼液０．５％「ＳＮ」,シオノケミカル,後発品,,,539.70,,H26.12.12収載,,,,,
外用薬,1319737Q1038,アプラクロニジン塩酸塩,１％０．１ｍＬ１個,,,,アイオピジンＵＤ点眼液１％,日本アルコン,,先発品,,693.60,,,,,,,
外用薬,1319738Q1024,ドルゾラミド塩酸塩,０．５％１ｍＬ,局,,,トルソプト点眼液０．５％,参天製薬,,先発品,,205.20,,,,,,,
外用薬,1319738Q2020,ドルゾラミド塩酸塩,１％１ｍＬ,局,,,トルソプト点眼液１％,参天製薬,,先発品,,297.10,,,,,,,
外用薬,1319739Q1037,ラタノプロスト,０．００５％１ｍＬ,,,,キサラタン点眼液０．００５％,ファイザー,,先発品,○,739.50,,,,,,,
外用薬,1319739Q1045,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「ＡＡ」,コーアバイオテックベイ,後発品,,,482.90,,,,,,,
外用薬,1319739Q1061,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「ＮＳ」,日新製薬（山形）,後発品,,,482.90,,,,,,,
外用薬,1319739Q1070,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「ＴＯＡ」,東亜薬品,後発品,,,482.90,,,,,,,
外用薬,1319739Q1088,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「ＴＳ」,テイカ製薬,後発品,,,312.00,,,,,,,
外用薬,1319739Q1096,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「アメル」,共和薬品工業,後発品,,,482.90,,,,,,,
外用薬,1319739Q1100,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「イセイ」,コーアイセイ,後発品,,,482.90,,,,,,,
外用薬,1319739Q1118,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「科研」,科研製薬,後発品,,,482.90,,,,,,,
外用薬,1319739Q1126,ラタノプロスト,０．００５％１ｍＬ,,,,ラタノプロスト点眼液０．００５％「キッセイ」,キッセイ薬品工業,後発品,,,482.90,,,,,,,
