区分,薬価基準収載医薬品コード,成分名,規格,品名,,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,,,,,
外用薬,1141700J1118,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン坐剤小児用５０ｍｇ「ＪＧ」,長生堂製薬,★,,,19.30,,,,,,,
外用薬,1141700J1126,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン坐剤小児用５０ｍｇ「日新」,日新製薬（山形）,★,,,19.30,,H26.6.20収載,,,,,
外用薬,1141700J2050,アセトアミノフェン,１００ｍｇ１個,,,,カロナール坐剤１００,昭和薬品化工,,先発品,,19.30,,,,,,,
外用薬,1141700J2076,アセトアミノフェン,１００ｍｇ１個,,,,アフロギス坐剤１００,日新製薬（山形）,★,,,19.30,H27.3.31まで,,,,,,
外用薬,1141700J2084,アセトアミノフェン,１００ｍｇ１個,,,,パラセタ坐剤１００,シオエ製薬,★,,,19.30,,,,,,,
外用薬,1141700J2092,アセトアミノフェン,１００ｍｇ１個,,,,アルピニー坐剤１００,久光製薬,,先発品,,19.30,,,,,,,
外用薬,1141700J2130,アセトアミノフェン,１００ｍｇ１個,,,,アンヒバ坐剤小児用１００ｍｇ,マイランＥＰＤ,,先発品,,19.30,,,,,,,
外用薬,1141700J2165,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,大正薬品工業,★,,,19.30,,,,,,,
外用薬,1141700J2173,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「タナベ」,長生堂製薬,★,,,19.30,H26.9.30まで,,,,,,
外用薬,1141700J2181,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,長生堂製薬,★,,,19.30,,,,,,,
外用薬,1141700J2190,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,日新製薬（山形）,★,,,19.30,,H26.6.20収載,,,,,
外用薬,1141700J3021,アセトアミノフェン,２００ｍｇ１個,,,,アルピニー坐剤２００,久光製薬,,先発品,○,30.00,,,,,,,
外用薬,1141700J3048,アセトアミノフェン,２００ｍｇ１個,,,,カロナール坐剤２００,昭和薬品化工,,先発品,○,30.00,,,,,,,
外用薬,1141700J3064,アセトアミノフェン,２００ｍｇ１個,,,,アフロギス坐剤２００,日新製薬（山形）,後発品,,,19.90,H27.3.31まで,,,,,,
外用薬,1141700J3072,アセトアミノフェン,２００ｍｇ１個,,,,パラセタ坐剤２００,シオエ製薬,後発品,,,19.90,,,,,,,
外用薬,1141700J3110,アセトアミノフェン,２００ｍｇ１個,,,,アンヒバ坐剤小児用２００ｍｇ,マイランＥＰＤ,,先発品,○,30.00,,,,,,,
外用薬,1141700J3137,アセトアミノフェン,２００ｍｇ１個,,,,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,大正薬品工業,後発品,,,19.90,,,,,,,
外用薬,1141700J3145,アセトアミノフェン,２００ｍｇ１個,,,,アセトアミノフェン坐剤小児用２００ｍｇ「タナベ」,長生堂製薬,後発品,,,19.90,H26.9.30まで,,,,,,
外用薬,1141700J3153,アセトアミノフェン,２００ｍｇ１個,,,,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,長生堂製薬,後発品,,,19.90,,,,,,,
外用薬,1141700J3161,アセトアミノフェン,２００ｍｇ１個,,,,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,日新製薬（山形）,後発品,,,19.90,,H26.6.20収載,,,,,
外用薬,1141700J4028,アセトアミノフェン,４００ｍｇ１個,,,,カロナール坐剤４００,昭和薬品化工,,先発品,,46.60,,H27.6.19収載,,,,,
外用薬,1145700J1010,インドメタシン,１２．５ｍｇ１個,局,,,インドメタシン坐剤,,,,,19.30,,,,,,,
外用薬,1145700J2016,インドメタシン,２５ｍｇ１個,局,,,インドメタシン坐剤,,,,,19.30,,,,,,,
外用薬,1145700J3012,インドメタシン,５０ｍｇ１個,局,,,インドメタシン坐剤,,,,,19.30,,,,,,,
外用薬,1147700J1022,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,アデフロニックズポ１２．５,テバ製薬,後発品,,,19.30,,,,,,,
外用薬,1147700J1057,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ボルタレンサポ１２．５ｍｇ,ノバルティス　ファーマ,,先発品,○,44.30,,,,,,,
外用薬,1147700J1081,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ボラボミン坐剤１２．５ｍｇ,鶴原製薬,後発品,,,19.30,H28.3.31まで,,,,,,
外用薬,1147700J1090,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ボンフェナック坐剤１２．５,京都薬品工業,後発品,,,19.30,,,,,,,
外用薬,1147700J1111,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ベギータ坐剤１２．５,シオノケミカル,後発品,,,19.30,,,,,,,
外用薬,1147700J1120,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ボナフェック坐剤１２．５,日新製薬（山形）,後発品,,,19.30,H28.3.31まで,,,,,,
外用薬,1147700J1138,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,メリカット坐剤１２．５,日医工,後発品,,,19.30,H27.3.31まで,,,,,,
外用薬,1147700J1146,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,19.30,,,,,,,
外用薬,1147700J1154,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤１２．５ｍｇ「タナベ」,長生堂製薬,後発品,,,19.30,H27.3.31まで,,,,,,
外用薬,1147700J1162,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,19.30,,H26.6.20収載,,,,,
