院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	〔東洋〕安中散料エキス細粒		東洋薬行		細粒：内服	1g	7.40円／g		漢方製剤	520	安中散		5200001C1044	109790001		TY-001 漢：TY-001	褐		賦形剤，トウモロコシデンプン
	〔東洋〕温清飲エキス細粒		東洋薬行		細粒：内服	1g	14.20円／g		漢方製剤	520	温清飲		5200006C1055	109818101		TY-005 漢：TY-005	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕黄耆建中湯エキス細粒		東洋薬行		細粒：内服	1g	14.40円／g		漢方製剤	520	黄耆建中湯		5200008C1020	109828001		TY-007 漢：TY-007	褐		賦形剤，トウモロコシデンプン
	〔東洋〕黄連解毒湯エキス細粒		東洋薬行		細粒：内服	1g	18.60円／g		漢方製剤	520	黄連解毒湯		5200011C1064	109839601		TY-008 漢：TY-008	褐		賦形剤，トウモロコシデンプン
	〔東洋〕黄連湯エキス細粒		東洋薬行		細粒：内服	1g	36.90円／g		漢方製剤	520	黄連湯		5200010C1035	109832701		TY-009 漢：TY-009	褐		賦形剤，トウモロコシデンプン
	〔東洋〕葛根湯エキス細粒		東洋薬行		細粒：内服	1g	8.30円／g		漢方製剤	520	葛根湯		5200013C1063	109870901		TY-013 漢：TY-013	褐		賦形剤，トウモロコシデンプン
	〔東洋〕葛根湯加川きゅう辛夷エキス細粒		東洋薬行		細粒：内服	1g	10.00円／g		漢方製剤	520	葛根湯加川きゅう辛夷		5200015C1046	109889101		TY-014 漢：TY-014	褐		賦形剤，トウモロコシデンプン
	〔東洋〕加味帰脾湯エキス細粒		東洋薬行		細粒：内服	1g	19.20円／g		漢方製剤	520	加味帰脾湯		5200016C1032	109898301		TY-015 漢：TY-015	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕加味逍遙散エキス細粒		東洋薬行		細粒：内服	1g	14.60円／g		漢方製剤	520	加味逍遙散		5200017C1053	109908901		TY-016 漢：TY-016	褐		賦形剤，トウモロコシデンプン
	〔東洋〕桂枝加黄耆湯エキス細粒		東洋薬行		細粒：内服	1g	10.80円／g		漢方製剤	520	桂枝加黄耆湯		5200029C1021	109948501		TY-026 漢：TY-026	褐		賦形剤，トウモロコシデンプン
	〔東洋〕桂枝加葛根湯エキス細粒		東洋薬行		細粒：内服	1g	10.30円／g		漢方製剤	520	桂枝加葛根湯		5200030C1024	109949201		TY-027 漢：TY-027	褐		賦形剤，トウモロコシデンプン
	〔東洋〕桂枝加厚朴杏仁湯エキス細粒		東洋薬行		細粒：内服	1g	8.90円／g		漢方製剤	520	桂枝加厚朴杏仁湯		5200031C1029	109950801		TY-028 漢：TY-028	褐		賦形剤，トウモロコシデンプン
	〔東洋〕桂枝加芍薬湯エキス細粒		東洋薬行		細粒：内服	1g	8.00円／g		漢方製剤	520	桂枝加芍薬湯		5200032C1058	109954601		TY-030 漢：TY-030	褐		賦形剤，トウモロコシデンプン
	〔東洋〕桂枝茯苓丸料エキス細粒		東洋薬行		細粒：内服	1g	8.50円／g		漢方製剤	520	桂枝茯苓丸		5200038C1063	109987401		TY-034 漢：TY-034	褐		
	〔東洋〕啓脾湯エキス細粒		東洋薬行		細粒：内服	1g	21.20円／g		漢方製剤	520	啓脾湯		5200041C1022	110003701		TY-035 漢：TY-035	褐		
	〔東洋〕桂麻各半湯エキス細粒		東洋薬行		細粒：内服	1g	10.30円／g		漢方製剤	520	桂麻各半湯		5200042C1027	110005101		TY-037 漢：TY-037	褐		賦形剤，トウモロコシデンプン
	〔東洋〕五淋散エキス細粒		東洋薬行		細粒：内服	1g	13.00円／g		漢方製剤	520	五淋散		5200047C1020	110021101		TY-042 漢：TY-042	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕五苓散料エキス細粒		東洋薬行		細粒：内服	1g	12.20円／g		漢方製剤	520	五苓散		5200048C1067	110028001		TY-043 漢：TY-043	褐		賦形剤，トウモロコシデンプン
	〔東洋〕四君子湯エキス細粒		東洋薬行		細粒：内服	1g	21.20円／g		漢方製剤	520	四君子湯		5200062C1024	110110201		TY-054 漢：TY-054	褐		賦形剤，トウモロコシデンプン
	〔東洋〕七物降下湯エキス細粒		東洋薬行		細粒：内服	1g	7.00円／g		漢方製剤	520	七物降下湯		5200064C1023	110114001		TY-056 漢：TY-056	褐		賦形剤，トウモロコシデンプン
	〔東洋〕芍薬甘草湯エキス細粒		東洋薬行		細粒：内服	1g	9.50円／g		漢方製剤	520	芍薬甘草湯		5200067C1051	110135501		TY-059 漢：TY-059	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕十全大補湯エキス細粒		東洋薬行		細粒：内服	1g	11.90円／g		漢方製剤	520	十全大補湯		5200069C1069	110147801		TY-060 漢：TY-060	褐		賦形剤，トウモロコシデンプン
	〔東洋〕十味敗毒湯エキス細粒		東洋薬行		細粒：内服	1g	13.70円／g		漢方製剤	520	十味敗毒湯		5200070C1053	110157701		TY-061 漢：TY-061	褐		賦形剤，トウモロコシデンプン
	〔東洋〕小柴胡湯エキス細粒		東洋薬行		細粒：内服	1g	18.80円／g		漢方製剤	520	小柴胡湯		5200073C1065	110182901		TY-064 漢：TY-064	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕神秘湯エキス細粒		東洋薬行		細粒：内服	1g	16.50円／g		漢方製剤	520	神秘湯		5200082C1048	110239001		TY-069 漢：TY-069	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕清心連子飲エキス細粒		東洋薬行		細粒：内服	1g	19.60円／g		漢方製剤	520	清心れん子飲		5200086C1038	110252901		TY-072 漢：TY-072	褐		賦形剤，トウモロコシデンプン
	〔東洋〕大柴胡湯エキス細粒		東洋薬行		細粒：内服	1g	22.30円／g		漢方製剤	520	大柴胡湯		5200093C1062	110274101		TY-077 漢：TY-077	褐		賦形剤，トウモロコシデンプン
	〔東洋〕猪苓湯エキス細粒		東洋薬行		細粒：内服	1g	13.90円／g		漢方製剤	520	猪苓湯		5200103C1068	110307601		TY-080 漢：TY-080	褐		賦形剤，トウモロコシデンプン
	〔東洋〕当帰芍薬散料エキス細粒		東洋薬行		細粒：内服	1g	7.20円／g		漢方製剤	520	当帰芍薬散		5200111C1062	110351901		TY-085 漢：TY-085	褐		賦形剤（トウモロコシデンプン）
	〔東洋〕二陳湯エキス細粒		東洋薬行		細粒：内服	1g	14.40円／g		漢方製剤	520	二陳湯		5200114C1023	110367001		TY-087 漢：TY-087	褐		賦形剤，トウモロコシデンプン
